slate_date,run_tag,game_pk,player_mlb_id,market_source,roster_source,recovery_method
2026-05-01,local_daily_20260501T134007Z,823066,518692,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823066,660271,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823066,663656,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823066,669257,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823066,669289,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823066,676475,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823066,681624,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823066,691023,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823066,802139,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823146,521692,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823146,647304,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823146,663728,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823146,672580,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823146,677951,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823146,686469,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823146,695600,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,592206,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,592518,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,593428,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,609280,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,643217,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,664034,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,665487,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,669720,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,678246,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,695657,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,701538,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823309,808959,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
2026-05-01,local_daily_20260501T134007Z,823389,542303,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,backend/mlb/exports/odds_history/2026-05-01/mlb_predictions_wide_calibrated__local_daily_20260501T134007Z.csv,RAW_PAYLOAD_CONTAINED_MISSING_FIELDS
