slate_date,normal_runs_present,runs_examined_in_original_inventory,original_exclusion_decision,original_missing_requirement,original_evidence_paths_searched,original_run_selected_or_rejected,original_row_count
2026-05-14,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-15,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-16,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-17,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-18,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-19,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-20,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-21,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-22,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-05-23,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
