side,cluster,clusters,win_rate_low,win_rate_high,roi_low,roi_high
OVER,slate_date,62,0.3679553993455339,0.3907069697726705,-0.13977906339586804,-0.0893010267906248
OVER,game_pk,794,0.36848137535816616,0.3907475772958006,-0.14020252311301998,-0.08808710096559191
UNDER,slate_date,62,0.6099315465831303,0.6320903954802259,-0.04139354829091786,-0.008256189017974605
UNDER,game_pk,794,0.6095137914913511,0.6324292452830189,-0.04290306496734255,-0.006398859619619184
