source_lineage_grade,month,side,frozen_rows,settled_wagers,wins,losses,voids,supported_nonappearances,book_rule_uncertified,technical_unresolved,stake_at_risk,returned_stake,gross_winning_profit,net_dollars,roi,average_odds
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05,OVER,3219,3009,1095,1914,189,169,0,21,15045,945,7402.966255594412,-2167.033744405581,-0.14403680587607715,128.13625789298771
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05,UNDER,3219,3009,1914,1095,189,169,0,21,15045,945,5353.617132806628,-121.3828671933631,-0.008067987184670196,-181.16949152542372
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-06,OVER,1884,1734,686,1048,130,119,0,20,8670,650,4558.272177924139,-681.7278220758632,-0.07863065998568203,119.75836216839677
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-06,UNDER,1884,1734,1048,686,130,119,0,20,8670,650,3022.208742171475,-407.7912578285327,-0.0470347471543867,-175.8125720876586
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-07,OVER,3911,3673,1420,2253,221,204,0,17,18365,1105,9376.13575512354,-1888.8642448764458,-0.10285130655466626,119.56765586713858
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-07,UNDER,3911,3673,2253,1420,221,204,0,17,18365,1105,6508.9886793997,-591.0113206002932,-0.03218139507760921,-175.22270623468555
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-08,OVER,253,223,76,147,30,20,0,0,1115,150,516.3951210502922,-218.60487894970782,-0.1960581873988411,123.02690582959642
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-08,UNDER,253,223,147,76,30,20,0,0,1115,150,415.07838677722776,35.078386777227635,0.03146043657150461,-180.04484304932734
