source_lineage_grade,slate_date,side,frozen_rows,settled_wagers,wins,losses,voids,supported_nonappearances,book_rule_uncertified,technical_unresolved,stake_at_risk,returned_stake,gross_winning_profit,net_dollars,roi,average_odds
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-01,OVER,150,145,52,93,5,5,0,0,725,25,360.5309523809525,-104.46904761904766,-0.14409523809523814,140.5241379310345
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-01,UNDER,150,145,93,52,5,5,0,0,725,25,241.09283572555177,-18.907164274448206,-0.026078847275100975,-192.42758620689656
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-02,OVER,106,102,43,59,4,4,0,0,510,20,293.44629629629634,-1.553703703703703,-0.0030464778503994177,124.80392156862744
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-02,UNDER,106,102,59,43,4,4,0,0,510,20,172.94334633285035,-42.056653667149696,-0.08246402679833274,-176.3921568627451
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-03,OVER,177,163,71,92,14,12,0,0,815,70,471.11898547648866,11.118985476488575,0.013642926965016657,123.88957055214723
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-03,UNDER,177,163,92,71,14,12,0,0,815,70,256.385042873147,-98.61495712685299,-0.12099994739491164,-178.3435582822086
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-04,OVER,133,122,42,80,10,10,0,1,610,50,279.2758545686188,-120.72414543138119,-0.19790843513341178,122.12295081967213
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-04,UNDER,133,122,80,42,10,10,0,1,610,50,233.2097127355854,23.20971273558529,0.038048709402598836,-174.4344262295082
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-05,OVER,125,118,43,75,7,6,0,0,590,35,282.71930991807517,-92.28069008192482,-0.156407949291398,126.90677966101696
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-05,UNDER,125,118,75,43,7,6,0,0,590,35,216.97191383138335,1.971913831383345,0.0033422268328531274,-173.60169491525423
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-06,OVER,116,109,39,70,7,7,0,0,545,35,252.32876229091488,-97.67123770908505,-0.17921328020015606,120.08256880733946
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-06,UNDER,116,109,70,39,7,7,0,0,545,35,207.20697414943922,12.206974149439233,0.02239811770539309,-168.12844036697248
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-07,OVER,119,106,35,71,12,11,0,1,530,60,236.73728813559325,-118.2627118644068,-0.22313719219699396,136.56603773584905
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-07,UNDER,119,106,71,35,12,11,0,1,530,60,193.538516109998,18.538516109997975,0.03497833228301505,-184.32075471698113
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-08,OVER,154,150,47,103,4,3,0,0,750,20,334.0667855929323,-180.93321440706757,-0.2412442858760901,138.9
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-08,UNDER,154,150,103,47,4,3,0,0,750,20,280.4697652114604,45.469765211460434,0.06062635361528058,-187.92
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-09,OVER,174,162,56,106,10,9,0,2,810,50,374.78924891990704,-155.21075108009305,-0.19161821120999142,134.8827160493827
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-09,UNDER,174,162,106,56,10,9,0,2,810,50,289.7324526596257,9.732452659625679,0.012015373653858862,-183.66666666666666
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-10,OVER,169,157,47,110,11,11,0,1,785,55,315.9029508833237,-234.09704911667635,-0.29821280142251766,130.38853503184714
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-10,UNDER,169,157,110,47,11,11,0,1,785,55,304.95061805668985,69.95061805668983,0.08910906758813991,-183.0
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-05-11,OVER,53,53,18,35,0,0,0,0,265,0,122.25436893203883,-52.745631067961156,-0.19904011723758927,131.83018867924528
