population,side,dates,games,frozen_identities,settled_wagers,wins,losses,voids,supported_nonappearances,technical_unresolved,stake,net,roi,average_odds
ORIGINAL_FIVE_DATES,OVER,5,59,661,605,217,388,54,41,2,3025,-479.1379351256095,-0.15839270582664777,123.59504132231405
ORIGINAL_FIVE_DATES,UNDER,5,59,661,605,388,217,54,41,2,3025,21.229333884878855,0.007017961614835985,-179.2413223140496
NEWLY_RECOVERED_DATES,OVER,57,737,8606,8034,3060,4974,516,471,56,40170,-4477.092755181999,-0.11145364090570074,122.61077918844909
NEWLY_RECOVERED_DATES,UNDER,57,737,8606,8034,4974,3060,516,471,56,40170,-1106.336392729851,-0.02754135904231643,-177.40851381628082
COMBINED_EXACT_GRADE_B_POPULATION,OVER,62,796,9267,8639,3277,5362,570,512,58,43195,-4956.230690307618,-0.1147408424657395,122.67970829957171
COMBINED_EXACT_GRADE_B_POPULATION,UNDER,62,796,9267,8639,5362,3277,570,512,58,43195,-1085.107058844971,-0.02512112649253319,-177.53686769302
