schema,object_name,object_type,classification,reason,future_action
auth,audit_log_entries,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,custom_oauth_providers,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,flow_state,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,identities,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,instances,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,mfa_amr_claims,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,mfa_challenges,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,mfa_factors,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,oauth_authorizations,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,oauth_client_states,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,oauth_clients,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,oauth_consents,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,one_time_tokens,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,refresh_tokens,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,refresh_tokens_id_seq,SEQUENCE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,saml_providers,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,saml_relay_states,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,schema_migrations,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,sessions,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,sso_domains,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,sso_providers,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,users,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,webauthn_challenges,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
auth,webauthn_credentials,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
cron,job,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
cron,job_run_details,TABLE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
cron,jobid_seq,SEQUENCE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
cron,runid_seq,SEQUENCE,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
extensions,pg_stat_statements,VIEW,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
extensions,pg_stat_statements_info,VIEW,UNKNOWN_FAIL_CLOSED,Supabase platform object outside MLB source boundary,REQUIRES_BLOCKER_RESOLUTION
mlb,bvp_stats,TABLE,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,game_info,TABLE,TRUSTED_SOURCE,source identity and official-result lineage established; audited fail-closed,RETAIN_OPERATIONAL
mlb,model_training_props,TABLE,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,pitcher_game_v4_base,VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
mlb,pitcher_game_v4_features_1,VIEW,DERIVED_RESEARCH_QUARANTINE,derived/model/research population; excluded from clean room,RETAIN_FORENSIC_ONLY
