state,regime,clusters,dates
COMPLETED,ALL,2,2026-08-17;2026-08-18
COMPLETED,NORMAL_COMPETITIVE_REGIME,2,2026-08-17;2026-08-18
COMPLETED,LATE_SEASON_TRANSITION_WATCH,0,
COMPLETED,LATE_SEASON_DISTINCT_REGIME,0,
PENDING,ALL,1,2026-08-19
PENDING,NORMAL_COMPETITIVE_REGIME,1,2026-08-19
PENDING,LATE_SEASON_TRANSITION_WATCH,0,
PENDING,LATE_SEASON_DISTINCT_REGIME,0,
