canonical_season,game_id,game_date,home_team,away_team,home_prior_games,away_prior_games,minimum_team_prior_games,maximum_team_prior_games,prior_game_count_group,opening_state_classification,row_qualification,home_win_probability,home_win_target,missing_feature_count,diff_std_goal_diff_pg_status,diff_r10_goal_diff_pg_status,diff_std_shot_diff_pg_status,diff_days_rest_status,home_back_to_back_status,away_back_to_back_status,fully_observed_fields,imputed_fields
2023,2023020001,2023-10-10,TBL,NSH,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,1,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
2023,2023020002,2023-10-10,PIT,CHI,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,0,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
2023,2023020003,2023-10-10,VGK,SEA,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,1,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
2023,2023020004,2023-10-11,CAR,OTT,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,1,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
2023,2023020005,2023-10-11,TOR,MTL,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,1,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
2023,2023020006,2023-10-11,BOS,CHI,0,1,0,1,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.580033980021195,1,5,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,OBSERVED,1,5
2023,2023020007,2023-10-11,CGY,WPG,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,1,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
2023,2023020008,2023-10-11,LAK,COL,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,0,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
2023,2023020009,2023-10-11,VAN,EDM,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,1,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
2023,2023020010,2023-10-12,BUF,NYR,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,0,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
2023,2023020011,2023-10-12,CBJ,PHI,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,0,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
2023,2023020012,2023-10-12,NJD,DET,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,1,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
2023,2023020013,2023-10-12,DAL,STL,0,0,0,0,0,SEASON_OPEN_NO_HISTORY,MIN_HISTORY_IMPUTED,0.534521273067237,1,6,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,IMPUTED,0,6
