source,slate_date,run_tag,raw_payload_path,source_observed_at_utc,sha256,status
MLB_STATS_API,2026-07-28,cleanroom_20260729T034711Z,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-28/cleanroom_20260729T034711Z/game_823923.json,2026-07-29T03:47:14.794761+00:00,a5d157b7d8c54ba4a808cfb707b5490535c861bf64fcb1567be13172d90df1a7,PRESERVED
MLB_STATS_API,2026-07-28,cleanroom_20260729T034711Z,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-28/cleanroom_20260729T034711Z/game_823598.json,2026-07-29T03:47:14.901053+00:00,ec2056aad6b624aec525dd9404b84a2e5e9ea4ebd4392b98a3f1572d5a46ce2d,PRESERVED
MLB_STATS_API,2026-07-27,cleanroom_20260729T034711Z,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-27/cleanroom_20260729T034711Z/game_822868.json,2026-07-29T03:47:14.971613+00:00,ef7c2a0065740ffe3a2641634e3f5b0ff5b46bba9920ea1503a12d0ed24276af,PRESERVED
MLB_STATS_API,2026-07-27,cleanroom_20260729T034711Z,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-27/cleanroom_20260729T034711Z/game_824245.json,2026-07-29T03:47:15.094136+00:00,e054174505b4c8b5d1b15244f5e4feb81e31a3d94c9467a6f28c5917c6c4aa4e,PRESERVED
MLB_STATS_API,2026-07-27,cleanroom_20260729T034711Z,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-27/cleanroom_20260729T034711Z/game_823353.json,2026-07-29T03:47:15.212503+00:00,56b9d14fdd1da06b4efe9831521d82be04d0fc912b1f3a8407415da5a963159e,PRESERVED
MLB_STATS_API,2026-07-27,cleanroom_20260729T034711Z,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-27/cleanroom_20260729T034711Z/game_823839.json,2026-07-29T03:47:15.319129+00:00,f0b9ba96ab97461682589abba6b70529e61612bc01f3cbb795b008d3ecea4a5d,PRESERVED
MLB_STATS_API,2026-07-27,cleanroom_20260729T034711Z,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-27/cleanroom_20260729T034711Z/game_822705.json,2026-07-29T03:47:15.433637+00:00,b66a2a153e7f5a638e98b76c38644af522ef645be75701e6d13b189d7b1d41e1,PRESERVED
MLB_STATS_API,2026-07-27,cleanroom_20260729T034711Z,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-27/cleanroom_20260729T034711Z/game_823597.json,2026-07-29T03:47:15.575920+00:00,0f8cc3bb00358dcd659c0ec65cd6818c291e281c9d0a533e530758bf7eccfbcd,PRESERVED
MLB_STATS_API,2026-07-27,cleanroom_20260729T034711Z,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-27/cleanroom_20260729T034711Z/game_824570.json,2026-07-29T03:47:15.681701+00:00,441bd3fb05defaca3517542d9a7af040de5e739412f87a541dbcfd16eacbe8f0,PRESERVED
MLB_STATS_API,2026-07-27,cleanroom_20260729T034711Z,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-27/cleanroom_20260729T034711Z/game_823025.json,2026-07-29T03:47:15.787262+00:00,b2eeee258c7b1d1576ee197a38e3b3cca4896305812db3cbb57a9d7fc3ba0439,PRESERVED
