actor,brier,log_loss,ece,accuracy,mean_probability,probability_sd,observed_rate,calibration_gap,classification
PROPPADIA,0.2436929101352791,0.6808015963910002,0.020173994452369684,0.5748137581233159,0.5878284303376129,0.0671266106508834,0.5748137581233159,-0.013014672214296974,BROADLY_COMPARABLE
BETONLINE,0.23799442735853157,0.6689012232867361,0.023469687939915607,0.5943889681407513,0.5849434259268124,0.1009037132867284,0.5748137581233159,-0.010129667803496445,BROADLY_COMPARABLE
PROPPADIA_MINUS_BETONLINE,0.005698482776747532,0.011900373104264172,-0.0032956934875459226,-0.01957521001743534,,,,,BROADLY_COMPARABLE
