lane,threshold,rows,brier,log_loss,ece,accuracy,mean_probability,probability_sd,observed_rate,calibration_gap,betonline_brier
HITS_05_OVER,>=65%,2169,0.24230863221788565,0.6797818536049809,0.07199956016597513,0.6191793453204242,0.6911789054863993,0.033020002355723416,0.6191793453204242,-0.07199956016597509,0.23415129881739363
HITS_05_OVER,>=70%,720,0.2506145166512042,0.6995917042974524,0.1159538180555555,0.6138888888888889,0.7298427069444445,0.02524289325926885,0.6138888888888889,-0.1159538180555556,0.23368034933099377
HITS_05_OVER,>=75%,142,0.26293622316245074,0.7321750920377212,0.15821104225352123,0.6126760563380281,0.7708870985915494,0.019669670481465482,0.6126760563380281,-0.15821104225352123,0.2375541806080584
HITS_05_UNDER,>=65%,20,0.22696804292735,0.646341261681531,0.020981650000000063,0.65,0.67098165,0.015955196351894265,0.65,-0.020981649999999963,0.24771458730098775
HITS_05_UNDER,>=70%,2,0.2888951898925,0.7776629068569951,0.20419549999999997,0.5,0.7041955,0.0028084999999999916,0.5,-0.20419549999999997,0.22342243380930948
HITS_05_UNDER,>=75%,0,,,,,,,,,
HITS_15_OVER,>=65%,1,0.42487061604099996,1.0550385636333506,0.651821,0.0,0.651821,0.0,0.0,-0.651821,0.11432630011939741
HITS_15_OVER,>=70%,0,,,,,,,,,
HITS_15_OVER,>=75%,0,,,,,,,,,
HITS_15_UNDER,>=65%,385,0.19967270857390648,0.5902093054730955,0.07169719480519489,0.7324675324675325,0.6911038805194804,0.030932265269330305,0.7324675324675325,0.04136365194805214,0.2013094976551454
HITS_15_UNDER,>=70%,118,0.19901034666924577,0.5906189056495283,0.10652136440677971,0.7372881355932204,0.7297363813559323,0.023420787265828146,0.7372881355932204,0.007551754237288044,0.20558822275570043
HITS_15_UNDER,>=75%,22,0.3294949429520455,0.8867728719739906,0.2654185000000001,0.5,0.7654185000000001,0.021067188852789333,0.5,-0.2654185000000001,0.29846682214338877
