lane,confidence_group,rows,brier,log_loss,ece,accuracy,mean_probability,probability_sd,observed_rate,calibration_gap
HITS_05_OVER,bottom20,1696,0.24842583767718573,0.689998326745493,0.061605197523584954,0.5772405660377359,0.5156353685141509,0.008748567501563302,0.5772405660377359,0.061605197523584954
HITS_05_OVER,second20,1695,0.24481268356776045,0.6827430752474657,0.023563084365781722,0.5769911504424778,0.5534280660766963,0.01277008909804607,0.5769911504424778,0.023563084365781584
HITS_05_OVER,middle20,1695,0.24248052756451388,0.6780448060094456,0.010088813569321467,0.5876106194690266,0.5975032324483776,0.012456391167139848,0.5876106194690266,-0.009892612979350957
HITS_05_OVER,fourth20,1695,0.2422483797771811,0.6777526869152745,0.04274608141592924,0.5970501474926254,0.6397962289085546,0.012838022008692909,0.5970501474926254,-0.04274608141592917
HITS_05_OVER,top20,1695,0.24517115314681123,0.6861828795481949,0.08625501179941002,0.6147492625368731,0.7010042743362832,0.030819563021309126,0.6147492625368731,-0.08625501179941009
HITS_05_OVER,top10,848,0.2517557521975849,0.7015801076576507,0.11637588915094343,0.6084905660377359,0.7248664551886793,0.026090043647322984,0.6084905660377359,-0.11637588915094343
HITS_05_UNDER,bottom20,520,0.2504408851529769,0.6940289864634274,0.0654069807692308,0.43846153846153846,0.5038685192307693,0.0025623945410973644,0.43846153846153846,-0.0654069807692308
HITS_05_UNDER,second20,519,0.2515386100121637,0.6962252174636269,0.07015891136801539,0.44315992292870904,0.5133188342967244,0.003033368441140981,0.44315992292870904,-0.07015891136801539
HITS_05_UNDER,middle20,519,0.25285875316903467,0.6988715279724417,0.06477750481695577,0.4605009633911368,0.5252784682080925,0.004162961538282626,0.4605009633911368,-0.06477750481695577
HITS_05_UNDER,fourth20,519,0.2544559874823468,0.7020811658315637,0.07967258188824664,0.4624277456647399,0.5401932755298652,0.0046132330120958135,0.4624277456647399,-0.0777655298651253
HITS_05_UNDER,top20,519,0.24586806901317532,0.684841810477932,0.02305136801541428,0.5645472061657033,0.5875985741811175,0.029784907299792187,0.5645472061657033,-0.023051368015414186
HITS_05_UNDER,top10,260,0.24322310542130385,0.6794898919611141,0.03010859615384608,0.5807692307692308,0.6108778269230769,0.02483734461150816,0.5807692307692308,-0.03010859615384609
HITS_15_OVER,bottom20,33,0.2508004913476667,0.6947483394325416,0.08011499999999999,0.42424242424242425,0.5043574242424242,0.0026778477000880493,0.42424242424242425,-0.08011499999999999
HITS_15_OVER,second20,33,0.2571311905229091,0.7074144438466997,0.24271369696969702,0.2727272727272727,0.5154409696969697,0.0035984435396672074,0.2727272727272727,-0.24271369696969702
HITS_15_OVER,middle20,32,0.2628626273764062,0.7189093760653618,0.21518590625,0.3125,0.52768590625,0.004759119826444895,0.3125,-0.21518590625
HITS_15_OVER,fourth20,33,0.285236078705697,0.7638491807140095,0.3954537575757575,0.15151515151515152,0.546968909090909,0.005710196591444786,0.15151515151515152,-0.3954537575757575
HITS_15_OVER,top20,33,0.2945407274323334,0.7837310868747117,0.283135,0.30303030303030304,0.586165303030303,0.024930110514632883,0.30303030303030304,-0.28313499999999997
HITS_15_OVER,top10,17,0.3092109842085882,0.8141271405028851,0.31122505882352935,0.29411764705882354,0.605342705882353,0.02009429966218018,0.29411764705882354,-0.3112250588235294
HITS_15_UNDER,bottom20,277,0.2381006652302924,0.6693009548283568,0.19008949097472927,0.7184115523465704,0.5283220613718411,0.01535273836672938,0.7184115523465704,0.19008949097472927
HITS_15_UNDER,second20,276,0.22985581562871377,0.6525885881723661,0.10180003985507247,0.6739130434782609,0.5721130036231884,0.011259355699993331,0.6739130434782609,0.10180003985507247
HITS_15_UNDER,middle20,276,0.2190323235748877,0.6304193826277368,0.09185567028985503,0.6992753623188406,0.6074196920289856,0.009930008983682919,0.6992753623188406,0.09185567028985497
HITS_15_UNDER,fourth20,276,0.22005107358508696,0.6319971211687937,0.028038746376811634,0.6739130434782609,0.6458742971014493,0.013368874236861011,0.6739130434782609,0.028038746376811585
HITS_15_UNDER,top20,277,0.19813014418956318,0.5872326284646366,0.07552395306859205,0.7364620938628159,0.7030984801444043,0.028359220994450124,0.7364620938628159,0.03336361371841157
HITS_15_UNDER,top10,139,0.1969552383798273,0.5858142269478195,0.10015142446043167,0.7410071942446043,0.7248731366906475,0.024470242931470883,0.7410071942446043,0.016134057553956804
