lane,probability_band,rows,brier,log_loss,ece,accuracy,mean_probability,probability_sd,observed_rate,calibration_gap,sample_status
HITS_05_OVER,50-54.99%,2415,0.24767299688897557,0.6884886254806564,0.05285396024844724,0.575983436853002,0.5231294766045548,0.013958596649972238,0.575983436853002,0.05285396024844724,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_05_OVER,55-59.99%,1928,0.24307215308930238,0.6792278644631964,0.008789320020746949,0.5840248962655602,0.5752355762448133,0.014640904119135606,0.5840248962655602,0.008789320020746949,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_05_OVER,60-64.99%,1964,0.2449732688147831,0.6832714930531416,0.04043995213849294,0.5840122199592668,0.6244521720977597,0.014004036833765532,0.5840122199592668,-0.04043995213849294,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_05_OVER,65-69.99%,1449,0.23818148467337955,0.6699384495341876,0.05015893512767433,0.621808143547274,0.6719670786749483,0.014267980272747558,0.621808143547274,-0.05015893512767433,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_05_OVER,70-74.99%,578,0.24758738460172838,0.6915867889702584,0.10557228546712794,0.6141868512110726,0.7197591366782006,0.013533127817555769,0.6141868512110726,-0.10557228546712794,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_05_OVER,>=75%,142,0.26293622316245074,0.7321750920377212,0.15821104225352123,0.6126760563380281,0.7708870985915494,0.019669670481465482,0.6126760563380281,-0.15821104225352123,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_05_UNDER,50-54.99%,2067,0.252370596990506,0.6978960442701524,0.0701010256410256,0.45041122399612965,0.5205122496371553,0.013962296303002027,0.45041122399612965,-0.0701010256410256,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_05_UNDER,55-59.99%,372,0.24841283306079032,0.690005460109009,0.019648655913978574,0.5510752688172043,0.5707239247311828,0.013754075220521153,0.5510752688172043,-0.019648655913978574,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_05_UNDER,60-64.99%,137,0.24146509748342337,0.6759367054477605,0.027298153284671445,0.5912408759124088,0.6185390291970803,0.012838598719464658,0.5912408759124088,-0.027298153284671445,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_05_UNDER,65-69.99%,18,0.2200872488201111,0.6317499677731463,0.0006245555555556281,0.6666666666666666,0.6672912222222223,0.01207413253178306,0.6666666666666666,-0.0006245555555556281,SMALL_SAMPLE
HITS_05_UNDER,70-74.99%,2,0.2888951898925,0.7776629068569951,0.20419549999999997,0.5,0.7041955,0.0028084999999999916,0.5,-0.20419549999999997,SMALL_SAMPLE
HITS_05_UNDER,>=75%,0,,,,,,,,,SMALL_SAMPLE
HITS_15_OVER,50-54.99%,118,0.26033336662274575,0.7138491742436615,0.20678576271186438,0.3135593220338983,0.5203450847457627,0.01393763641208688,0.3135593220338983,-0.20678576271186438,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_15_OVER,55-59.99%,38,0.28776291984815794,0.7692038012642907,0.329971105263158,0.23684210526315788,0.5668132105263158,0.01438087216291853,0.23684210526315788,-0.329971105263158,SMALL_SAMPLE
HITS_15_OVER,60-64.99%,7,0.3181121926534286,0.8325193057579845,0.3344688571428571,0.2857142857142857,0.6201831428571428,0.007477908271866482,0.2857142857142857,-0.3344688571428571,SMALL_SAMPLE
HITS_15_OVER,65-69.99%,1,0.42487061604099996,1.0550385636333506,0.651821,0.0,0.651821,0.0,0.0,-0.651821,SMALL_SAMPLE
HITS_15_OVER,70-74.99%,0,,,,,,,,,SMALL_SAMPLE
HITS_15_OVER,>=75%,0,,,,,,,,,SMALL_SAMPLE
HITS_15_UNDER,50-54.99%,258,0.23961417875725194,0.6723406602607314,0.1826843062015504,0.7093023255813954,0.526618019379845,0.014515058846903852,0.7093023255813954,0.1826843062015504,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_15_UNDER,55-59.99%,374,0.22696286757260425,0.6467228996037498,0.11389099465240637,0.6898395721925134,0.575948577540107,0.014657292466637337,0.6898395721925134,0.11389099465240637,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_15_UNDER,60-64.99%,365,0.224341352182189,0.6411845768475668,0.0477572356164383,0.6712328767123288,0.6234756410958905,0.014081480787246728,0.6712328767123288,0.0477572356164383,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_15_UNDER,65-69.99%,267,0.19996543780517978,0.5900282836722749,0.05630673782771545,0.7303370786516854,0.67403034082397,0.013643329877901776,0.7303370786516854,0.05630673782771545,ADEQUATE_DESCRIPTIVE_SAMPLE
HITS_15_UNDER,70-74.99%,96,0.16910762668777082,0.522750288366839,0.07010743750000004,0.7916666666666666,0.7215592291666666,0.014624796027408932,0.7916666666666666,0.07010743750000004,SMALL_SAMPLE
HITS_15_UNDER,>=75%,22,0.3294949429520455,0.8867728719739906,0.2654185000000001,0.5,0.7654185000000001,0.021067188852789333,0.5,-0.2654185000000001,SMALL_SAMPLE
