provenance,rows,lane_composition,side_composition,line_composition,month_composition,mean_absolute_separation,model_brier,model_log_loss,model_ece,model_accuracy,model_mean_probability,model_probability_sd,model_observed_rate,model_calibration_gap,betonline_brier,betonline_log_loss,betonline_ece,betonline_accuracy,betonline_mean_probability,betonline_probability_sd,betonline_observed_rate,betonline_calibration_gap,behavior_classification
ORIGINAL_CANONICAL_MATCH,7564,"{""HITS_05_OVER"": 5132, ""HITS_05_UNDER"": 1618, ""HITS_15_OVER"": 97, ""HITS_15_UNDER"": 717}","{""over"": 5229, ""under"": 2335}","{""0.5"": 6750, ""1.5"": 814}","{""2026-05"": 1547, ""2026-06"": 1958, ""2026-07"": 3705, ""2026-08"": 354}",0.06995767952678957,0.2448180259337841,0.6830243739727095,0.024997658249603344,0.5721840296139609,0.5833392410100475,0.06569771519540514,0.5721840296139609,-0.011155211396086662,0.23907254129551575,0.6709265353000113,0.022070041891309775,0.5846113167636171,0.5633008635346244,0.09059812985714985,0.5721840296139609,0.00888316607933648,RECOVERED_ROWS_PARTIALLY_DIFFER
RECOVERED_DETERMINISTIC_MATCH,5054,"{""HITS_05_OVER"": 3344, ""HITS_05_UNDER"": 978, ""HITS_15_OVER"": 67, ""HITS_15_UNDER"": 665}","{""over"": 3411, ""under"": 1643}","{""0.5"": 4322, ""1.5"": 732}","{""2026-05"": 912, ""2026-06"": 965, ""2026-07"": 2856, ""2026-08"": 321}",0.07792590882338815,0.24200902095841093,0.6774749067139031,0.0253493804907004,0.5787495053423031,0.5945471141669965,0.06866388727961209,0.5787495053423031,-0.015797608824693388,0.2363808828750832,0.6658700677528194,0.03858496568433318,0.6090225563909775,0.6173344710266363,0.10670062480651837,0.5787495053423031,-0.03858496568433323,RECOVERED_ROWS_PARTIALLY_DIFFER
