lane,period_type,period,rows,model_brier,model_log_loss,model_ece,model_accuracy,model_mean_probability,model_probability_sd,model_observed_rate,model_calibration_gap,betonline_brier,mean_separation
HITS_05_OVER,month,2026-05,1573,0.24490097016829052,0.6836578687341758,0.06119787476160203,0.5969485060394152,0.6044049567705022,0.06509195286927823,0.5969485060394152,-0.007456450731087028,0.24027921732835852,-0.01786685945569011
HITS_05_OVER,month,2026-06,2263,0.24533045416823243,0.6846671784195784,0.04194149005744587,0.586389748121962,0.6185731957578435,0.06445560720549472,0.586389748121962,-0.032183447635881546,0.2417210371833786,0.0051289741733014475
HITS_05_OVER,month,2026-07,4247,0.244466402033749,0.6824815516146877,0.045024808570755886,0.5900635742877325,0.5944553336472805,0.06731025994600756,0.5900635742877325,-0.004391759359548053,0.24002251370518932,-0.027000324186136557
HITS_05_OVER,month,2026-08,393,0.24124037806899745,0.6751872876754649,0.09173864122137407,0.5979643765903307,0.566898340966921,0.06405780404143961,0.5979643765903307,0.031066035623409705,0.23637637377288317,-0.04821162280754242
HITS_05_OVER,chronological_third,third_1,2826,0.24482940566661887,0.6834900252384001,0.049183215498938435,0.5927105449398443,0.6112124483368719,0.06593626350063345,0.5927105449398443,-0.01850190339702762,0.2406908742254019,-0.006332980654940837
HITS_05_OVER,chronological_third,third_2,2825,0.24383106207790584,0.6815611384991082,0.0319136934513274,0.5904424778761062,0.6153833394690266,0.06200998897191605,0.5904424778761062,-0.024940861592920416,0.23999902130376677,-0.0034215028846385828
HITS_05_OVER,chronological_third,third_3,2825,0.24522395436882477,0.6837842047655583,0.05346240141592922,0.5890265486725663,0.5777906817699116,0.06711987917821383,0.5890265486725663,0.011235866902654768,0.2403737348170085,-0.043381414857181846
HITS_05_UNDER,month,2026-05,602,0.2482568285837226,0.6896609193009798,0.021416872093023235,0.5348837209302325,0.5563005930232559,0.04329908788427439,0.5348837209302325,-0.021416872093023342,0.2532004181847773,0.1099490280884073
HITS_05_UNDER,month,2026-06,255,0.24697901856656862,0.6870080022085057,0.031151964705882367,0.5254901960784314,0.5354719490196078,0.02995320839971265,0.5254901960784314,-0.009981752941176425,0.2543787158037337,0.07661932979535299
HITS_05_UNDER,month,2026-07,1525,0.25249374364535215,0.6981465753223048,0.07911359475409832,0.44721311475409836,0.5263267095081967,0.023438516962404555,0.44721311475409836,-0.07911359475409835,0.24367887268802585,0.09887817511844821
HITS_05_UNDER,month,2026-08,214,0.2532544742557384,0.6996582579348415,0.09995825233644867,0.42990654205607476,0.5246778691588785,0.024608531716742234,0.42990654205607476,-0.09477132710280373,0.23640600312567808,0.09389229744390584
HITS_05_UNDER,chronological_third,third_1,866,0.24763363965307508,0.6883842370076005,0.014084638568129321,0.535796766743649,0.5498769457274827,0.040821759897876425,0.535796766743649,-0.014080178983833735,0.2540698031614286,0.10005135728912656
HITS_05_UNDER,chronological_third,third_2,865,0.25248540770861266,0.6981453149933808,0.07109266358381501,0.45664739884393063,0.5277400624277456,0.025855190286877976,0.45664739884393063,-0.071092663583815,0.24572662747104568,0.09764284301869122
HITS_05_UNDER,chronological_third,third_3,865,0.2529815809066509,0.699106198646328,0.09855646127167626,0.42890173410404625,0.5244844057803467,0.020993832975632457,0.42890173410404625,-0.09558267167630047,0.23920971964748083,0.09884841397932265
