game_pk,player_mlb_id,player,reason,detail
824971,,,GAME_OUTSIDE_FIXED_WINDOW,259.108525 minutes
823270,,,GAME_OUTSIDE_FIXED_WINDOW,264.108525 minutes
823107,,,GAME_OUTSIDE_FIXED_WINDOW,264.108525 minutes
823919,,,GAME_OUTSIDE_FIXED_WINDOW,454.108525 minutes
822783,802139,JJ Wetherholt,LINEUP_NOT_CONFIRMED,
823996,592885,Christian Yelich,LINEUP_NOT_CONFIRMED,
823996,641343,Jake Bauers,LINEUP_NOT_CONFIRMED,
823996,661388,William Contreras,LINEUP_NOT_CONFIRMED,
823996,668930,Brice Turang,LINEUP_NOT_CONFIRMED,
823996,669003,Garrett Mitchell,LINEUP_NOT_CONFIRMED,
823996,683734,Andrew Vaughn,LINEUP_NOT_CONFIRMED,
823996,687263,Zach Neto,LINEUP_NOT_CONFIRMED,
823996,694192,Jackson Chourio,LINEUP_NOT_CONFIRMED,
824163,572233,Christian Walker,LINEUP_NOT_CONFIRMED,
824163,665161,Jeremy Peña,LINEUP_NOT_CONFIRMED,
824163,670541,Yordan Alvarez,LINEUP_NOT_CONFIRMED,
824163,670623,Isaac Paredes,LINEUP_NOT_CONFIRMED,
824163,673237,Yainer Diaz,LINEUP_NOT_CONFIRMED,
824323,516782,Starling Marte,LINEUP_NOT_CONFIRMED,
824323,623205,Andrew Velazquez,LINEUP_NOT_CONFIRMED,
824323,650489,Willi Castro,LINEUP_NOT_CONFIRMED,
824323,664983,Jake McCarthy,LINEUP_NOT_CONFIRMED,
824323,666160,Mickey Moniak,LINEUP_NOT_CONFIRMED,
824323,670231,John Rave,LINEUP_NOT_CONFIRMED,
824323,671289,Tyler Freeman,LINEUP_NOT_CONFIRMED,
824323,678662,Ezequiel Tovar,LINEUP_NOT_CONFIRMED,
824323,679845,Nick Loftin,LINEUP_NOT_CONFIRMED,
824323,681198,TJ Rumfield,LINEUP_NOT_CONFIRMED,
824323,686475,Tyler Tolbert,LINEUP_NOT_CONFIRMED,
824323,686555,Isaac Collins,LINEUP_NOT_CONFIRMED,
824323,687859,Troy Johnston,LINEUP_NOT_CONFIRMED,
824323,691720,Kyle Karros,LINEUP_NOT_CONFIRMED,
824323,694249,Cole Carrigg,LINEUP_NOT_CONFIRMED,
824323,695600,Carter Jensen,LINEUP_NOT_CONFIRMED,
824323,696100,Hunter Goodman,LINEUP_NOT_CONFIRMED,
