population,frozen_rows,actionable_wagers,wins,losses,no_action,pending,technical_unresolved,win_rate,stake,net_dollars,roi,average_under_odds,games
BASELINE_ALL_UNDER,129,126,82,44,3,0,0,0.6507936507936508,630,16.037926829223924,0.025457026713053846,-179.88095238095238,10
REJECTED_TOP_ORDER,36,36,22,14,0,0,0,0.6111111111111112,180,-1.6354347554579212,-0.009085748641432896,-165.25,6
RETAIN_AFTER_TOP_ORDER_REJECTION,93,90,60,30,3,0,0,0.6666666666666666,450,17.673361584681842,0.03927413685484854,-185.73333333333332,10
