slate_date,population_name,coverage_classification,selection_count,outcome_status,manifest_path
2026-07-23,BROAD_EVER_POSITIVE,POPULATION_NOT_CERTIFIABLE,,PENDING_OR_UNAVAILABLE,
2026-07-23,BROAD_FINAL_PREGAME_POSITIVE,POPULATION_NOT_CERTIFIABLE,,PENDING_OR_UNAVAILABLE,
2026-07-24,BROAD_EVER_POSITIVE,CERTIFIED_RETAINED_SNAPSHOT_POPULATION,,FINAL,
2026-07-24,BROAD_FINAL_PREGAME_POSITIVE,CERTIFIED_RETAINED_SNAPSHOT_POPULATION,,FINAL,
2026-07-25,BROAD_EVER_POSITIVE,CERTIFIED_RETAINED_SNAPSHOT_POPULATION,,FINAL,
2026-07-25,BROAD_FINAL_PREGAME_POSITIVE,CERTIFIED_RETAINED_SNAPSHOT_POPULATION,,FINAL,
2026-07-26,BROAD_EVER_POSITIVE,PARTIAL_CERTIFIED_RUN_SPINE,39,FINAL,backend/mlb/exports/model_v2/ubo5_tb15/2026-07-26/ubo5_tb15_run_population_manifest_2026-07-26.json
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,PARTIAL_CERTIFIED_RUN_SPINE,39,FINAL,backend/mlb/exports/model_v2/ubo5_tb15/2026-07-26/ubo5_tb15_run_population_manifest_2026-07-26.json
2026-07-27,BROAD_EVER_POSITIVE,FULLY_CERTIFIED_COMPLETE_RUN_SPINE,28,PENDING_OR_UNAVAILABLE,backend/mlb/exports/model_v2/ubo5_tb15/2026-07-27/ubo5_tb15_run_population_manifest_2026-07-27.json
2026-07-27,BROAD_FINAL_PREGAME_POSITIVE,FULLY_CERTIFIED_COMPLETE_RUN_SPINE,28,PENDING_OR_UNAVAILABLE,backend/mlb/exports/model_v2/ubo5_tb15/2026-07-27/ubo5_tb15_run_population_manifest_2026-07-27.json
