game_date,player_id,team_id,opponent_id,is_home,y_saves,d10_shots_faced_per60,d10_save_pct,team_d10_sf_per_game,opp_d10_sf_allowed_per_game,pace_index,rest_days,b2b_flag,d5_saves_per60,d10_saves_per60,d5_shots_faced_per60,season_save_pct,start_prob
2023-10-11,8475883,5,21,t,27,23.0,0.9565217391304348,37.5,29.5,33.26033673912518,5,f,22.0,22.0,23.0,0.9565217391304348,1.0
2023-10-11,8476914,21,5,f,37,40.0,1.0,29.0,31.0,29.9833287011299,4,f,40.0,40.0,40.0,1.0,1.0
2023-10-11,8476945,31,7,f,17,40.32132681802704,0.8987341772151898,24.5,34.33333333333333,29.002873420864123,6,f,36.237,36.237,40.321,0.8987341772151898,1.0
2023-10-11,8476999,3,8,t,20,38.395504916497586,0.8780487804878048,16.333333333333332,28.6,21.6132675302309,6,f,33.713,33.713,38.396,0.8780487804878048,1.0
2023-10-11,8477967,29,12,t,21,18.114726601811473,0.9444444444444444,31.0,29.666666666666664,30.32600644111695,5,f,17.108,17.108,18.115,0.9444444444444444,1.0
2023-10-11,8478492,28,16,t,19,24.119987400729105,0.836734693877551,30.333333333333332,27.0,28.618176042508367,4,f,20.176,20.176,24.12,0.836734693877551,1.0
2023-10-11,8479193,29,12,t,5,15.350503155381205,0.8666666666666666,31.0,29.666666666666664,30.32600644111695,5,f,13.304,13.304,15.351,0.8666666666666666,1.0
2023-10-11,8479973,12,29,f,12,20.0,0.9,27.666666666666664,18.0,22.315913604421397,5,f,18.0,18.0,20.0,0.9,1.0
2023-10-11,8480382,9,14,f,34,26.189450360066473,0.8703703703703703,29.666666666666664,25.5,27.50454507895013,6,f,22.767,22.767,26.189,0.8703703703703703,1.0
2023-10-11,8482821,8,3,f,30,24.923076923076923,0.925925925925926,28.8,29.333333333333332,29.06544339933592,1,t,23.077,23.077,24.923,0.925925925925926,1.0
2023-10-12,8475683,13,15,f,19,22.5,0.8666666666666666,40.5,25.5,32.13642792844282,5,f,19.5,19.5,22.5,0.8666666666666666,1.0
2023-10-12,8475831,24,18,f,32,22.403824902554472,0.8615384615384615,34.0,36.333333333333336,35.14730904825195,2,f,19.299,19.299,22.404,0.8615384615384615,1.0
2023-10-12,8476412,26,10,f,33,22.5,0.9210526315789472,30.0,26.5,28.19574435974337,5,f,20.25,20.25,22.5,0.9210526315789472,1.0
2023-10-12,8477424,18,24,t,23,37.94838862164306,0.9324324324324323,31.0,22.333333333333332,26.312227829154516,2,f,35.349,35.349,37.948,0.9324324324324323,1.0
2023-10-12,8477970,17,11,t,32,21.0,0.9047619047619048,24.0,29.4,26.563132345414385,6,f,19.0,19.0,21.0,0.9047619047619048,1.0
2023-10-12,8478007,6,22,t,33,26.5,0.9056603773584904,29.75,15.0,21.12463017427761,5,f,24.0,24.0,26.5,0.9056603773584904,1.0
2023-10-12,8478024,11,17,f,23,26.110468998041387,0.894736842105263,26.4,23.666666666666664,24.99599967994879,5,f,23.6,23.6,26.11,0.894736842105263,1.0
2023-10-12,8478039,25,30,t,28,18.0,1.0,29.0,30.5,29.740544715926102,7,f,18.0,18.0,18.0,1.0,1.0
2023-10-12,8478048,20,4,f,24,14.462809917355372,0.8571428571428571,22.0,34.0,27.349588662354687,7,f,12.397,12.397,14.463,0.8571428571428571,1.0
2023-10-12,8479394,22,6,f,31,16.0,0.875,27.5,32.5,29.895651857753496,7,f,14.0,14.0,16.0,0.875,1.0
2023-10-12,8479406,15,13,t,41,22.080963532954165,1.0,24.5,21.0,22.682592444427513,5,f,22.081,22.081,22.081,1.0,1.0
2023-10-12,8479979,10,26,t,23,20.46425553489944,0.88,25.75,26.333333333333332,26.040033282108787,5,f,18.112,18.112,20.464,0.88,1.0
2023-10-12,8480313,30,25,f,22,31.316993426952894,0.9166666666666666,26.75,18.0,21.943108257491687,2,f,28.793,28.793,31.317,0.9166666666666666,1.0
2023-10-12,8482221,4,20,t,26,35.0,0.8,31.5,17.0,23.140872930812268,6,f,28.0,28.0,35.0,0.8,1.0
2023-10-13,8477465,23,32,f,19,32.37049424005946,0.9052631578947368,32.666666666666664,22.333333333333332,27.010286106510527,3,f,29.31,29.31,32.37,0.9052631578947368,1.0
2023-10-13,8478872,2,17,f,33,26.143001857166976,0.8846153846153846,17.0,26.5,21.224985276791124,6,f,23.111,23.111,26.143,0.8846153846153846,1.0
2023-10-13,8479292,32,23,t,31,22.0,0.909090909090909,35.33333333333333,32.33333333333333,33.800065746155646,6,f,20.0,20.0,22.0,0.909090909090909,1.0
2023-10-13,8481033,17,2,t,30,25.0,0.9,24.75,35.0,29.432125305522877,1,t,22.5,22.5,25.0,0.9,1.0
2023-10-14,8474593,7,23,f,24,32.15485907346985,0.8958333333333333,26.5,29.0,27.721832551258224,3,f,28.807,28.807,32.155,0.8958333333333333,1.0
2023-10-14,8475683,13,31,f,29,22.329842931937172,0.8787878787878787,40.666666666666664,33.666666666666664,37.001501471036434,2,f,19.632,19.632,22.33,0.8787878787878787,1.0
2023-10-14,8475852,8,16,f,33,28.032128514056225,0.891566265060241,27.5,28.666666666666664,28.077274321652617,3,f,24.953,24.953,28.032,0.891566265060241,1.0
2023-10-14,8475883,5,14,f,25,26.5,0.9245283018867924,39.0,29.333333333333332,33.823069050575526,3,f,24.5,24.5,26.5,0.9245283018867924,1.0
2023-10-14,8476341,21,22,t,19,28.0,0.9642857142857142,29.333333333333332,21.0,24.81934729198171,3,f,27.0,27.0,28.0,0.9642857142857142,1.0
2023-10-14,8476412,26,24,t,30,25.48897115532932,0.9444444444444444,28.25,25.5,26.83980253280564,2,f,23.68,23.68,25.489,0.9444444444444444,1.0
2023-10-14,8476434,1,30,f,34,30.7952486285476,0.8596491228070176,25.5,29.0,27.193749281774295,7,f,26.326,26.326,30.795,0.8596491228070176,1.0
2023-10-14,8476945,31,13,t,29,34.097379390712184,0.88,28.666666666666664,21.0,24.53568829277059,3,f,30.0,30.0,34.097,0.88,1.0
2023-10-14,8477424,18,3,f,27,33.01704655313117,0.9484536082474226,32.0,27.25,29.5296461204668,2,f,31.284,31.284,33.017,0.9484536082474226,1.0
2023-10-14,8477484,6,20,t,15,37.55074424898511,0.9189189189189187,30.4,19.666666666666664,24.451312166562076,2,f,34.506,34.506,37.551,0.9189189189189187,1.0
2023-10-14,8477831,14,5,t,14,26.874585268745854,0.8888888888888888,34.0,30.666666666666664,32.29034943549956,3,f,23.889,23.889,26.875,0.8888888888888888,1.0
2023-10-14,8477968,23,7,t,34,24.819027921406413,0.9166666666666666,33.25,35.0,34.11378020683137,1,t,22.751,22.751,24.819,0.9166666666666666,1.0
2023-10-14,8477992,27,11,f,36,28.333333333333332,0.9411764705882352,25.333333333333332,29.0,27.10473513367483,4,f,26.667,26.667,28.333,0.9411764705882352,1.0
2023-10-14,8478007,6,20,t,24,29.73147190623923,0.9204545454545454,30.4,19.666666666666664,24.451312166562076,2,f,27.375,27.375,29.731,0.9204545454545454,1.0
2023-10-14,8478009,19,4,t,26,28.5,0.8333333333333333,22.0,33.0,26.94438717061496,8,f,23.25,23.25,28.5,0.8333333333333333,1.0
2023-10-14,8478024,11,27,t,21,26.403519124415137,0.890625,27.833333333333332,37.333333333333336,32.23524640996422,2,f,23.692,23.692,26.404,0.890625,1.0
2023-10-14,8478048,20,6,f,16,19.731404958677683,0.923076923076923,25.0,33.4,28.89636655359978,2,f,18.198,18.198,19.731,0.923076923076923,1.0
2023-10-14,8478406,25,9,t,51,36.82813536828135,0.8918918918918918,26.0,29.75,27.81186797034676,2,f,32.847,32.847,36.828,0.8918918918918918,1.0
2023-10-14,8478470,16,8,t,28,25.071034598027744,0.84,28.333333333333332,29.333333333333332,28.82899774725287,3,f,21.06,21.06,25.071,0.84,1.0
2023-10-14,8478492,28,15,t,28,23.809460199519886,0.821917808219178,30.75,30.666666666666664,30.708305065568176,3,f,19.57,19.57,23.809,0.821917808219178,1.0
2023-10-14,8478499,30,1,t,22,29.7337807606264,0.9189189189189187,27.8,28.5,28.147824072208497,2,f,27.396,27.396,29.734,0.9189189189189187,1.0
2023-10-14,8478916,24,26,f,24,24.0,0.9375,31.25,26.75,28.912583765550945,2,f,22.5,22.5,24.0,0.9375,1.0
2023-10-14,8479193,29,12,f,37,20.41951665840428,0.9,31.5,30.25,30.868673440885015,3,f,19.396,19.396,20.42,0.9,1.0
2023-10-14,8479394,22,21,f,26,24.5,0.9183673469387756,30.666666666666664,33.666666666666664,32.13167353942904,2,f,22.5,22.5,24.5,0.9183673469387756,1.0
2023-10-14,8479406,15,28,f,26,31.54048176647708,1.0,23.333333333333332,25.5,24.392621835300936,2,f,31.54,31.54,31.54,1.0,1.0
2023-10-14,8479973,12,29,t,12,24.769230769230766,0.8333333333333333,27.5,22.5,24.874685927665496,3,f,20.077,20.077,24.769,0.8333333333333333,1.0
2023-10-14,8480280,3,18,t,34,23.91287758757833,0.9148936170212764,20.5,33.0,26.009613607279903,3,f,21.865,21.865,23.913,0.9148936170212764,1.0
2023-10-14,8480382,9,25,f,20,29.459633573377648,0.9,31.5,25.0,28.06243040080456,3,f,26.511,26.511,29.46,0.9,1.0
2023-10-14,8482221,4,19,f,26,32.78013582342954,0.8307692307692307,29.333333333333332,28.0,28.658913680272903,2,f,27.243,27.243,32.78,0.8307692307692307,1.0
2023-10-15,8476914,21,27,t,22,41.204981487714576,0.9390243902439024,29.75,38.5,33.843389310174004,1,t,38.681,38.681,41.205,0.9390243902439024,1.0
