slate_date,game_pk,player_mlb_id,field,old_value,official_value,source_hash,reason,recommended_repair_action,database_write
2026-07-31,824325,650489,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,6c630259b820f3e08d7ac57be84cc3f266c46dcebe4d7c3c06ca2059fca3ef70,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-07-31,824325,686475,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,6c630259b820f3e08d7ac57be84cc3f266c46dcebe4d7c3c06ca2059fca3ef70,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-07-31,824651,665862,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,ee120549fed364a009b7f0dd09887ec34bff89ba3e03691cae86a272a5a0336b,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-07-31,824651,673548,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,ee120549fed364a009b7f0dd09887ec34bff89ba3e03691cae86a272a5a0336b,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-07-31,824892,660688,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,683c80688964d9095e12e092dc7d99bb75ed16923a1cc1d91cec25a84dd88eb8,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-07-31,824975,663837,ROW_OR_STATS,LOCAL_ROW_MISSING,TECHNICAL_UNRESOLVED_NO_EXACT_OFFICIAL_SUPPORT,9422d438ca533def7669eda8c70cde815d433fc94277e77c3537f26697578524,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-07-31,824975,666126,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,9422d438ca533def7669eda8c70cde815d433fc94277e77c3537f26697578524,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-01,823109,605137,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,20d9f423009c2c7238d5709e8779d071490638da69a00eeadea823e31907904d,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-01,823594,593871,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,8817d567f18836118c4b214c462d80e91c5a8ae3873b811dbfb541b120409839,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-01,823594,673357,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,8817d567f18836118c4b214c462d80e91c5a8ae3873b811dbfb541b120409839,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-01,823594,682626,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,8817d567f18836118c4b214c462d80e91c5a8ae3873b811dbfb541b120409839,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-01,823594,691788,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,8817d567f18836118c4b214c462d80e91c5a8ae3873b811dbfb541b120409839,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,822783,802139,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,3d28f303484db711ad0f1b949c50dd69098dcee039338696fe9532b662cf9087,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,822943,695731,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,713e1968571b2e076f8c959c6bc3e41aa524ec6cfa9ea0cc3f7e23b2ef7961f7,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,823270,665487,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,7047e0fedffdaa1304f2c7272632efc494363af3ffca4cdf8a893432bda1c36f,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,823919,500743,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,0c1cca5fe3e8634ddc859fe1d236b543bccd814f1d589e58ca2f4e9ab82607a5,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,823919,663330,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,0c1cca5fe3e8634ddc859fe1d236b543bccd814f1d589e58ca2f4e9ab82607a5,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,823919,663853,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,0c1cca5fe3e8634ddc859fe1d236b543bccd814f1d589e58ca2f4e9ab82607a5,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,823996,592885,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,66b7572a14be3c53fdb9f90fde555f8836e84f8c83f3acc768a4872dc45937e4,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,824323,623205,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,8037757708f2f5c02c45ce9e849ac87b7194d8381bcb67006dfdd0d9ae297132,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,824323,671289,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,8037757708f2f5c02c45ce9e849ac87b7194d8381bcb67006dfdd0d9ae297132,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,824323,686555,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,8037757708f2f5c02c45ce9e849ac87b7194d8381bcb67006dfdd0d9ae297132,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,824323,691720,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,8037757708f2f5c02c45ce9e849ac87b7194d8381bcb67006dfdd0d9ae297132,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,824323,696100,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,8037757708f2f5c02c45ce9e849ac87b7194d8381bcb67006dfdd0d9ae297132,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,824971,682985,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,b5bcb6fe08197de68efd42e3fd918b0ac534e190d90718cb4cb8bf2124a1e7d0,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,824971,701762,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,b5bcb6fe08197de68efd42e3fd918b0ac534e190d90718cb4cb8bf2124a1e7d0,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
2026-08-02,824971,805779,ROW_OR_STATS,LOCAL_ROW_MISSING,OFFICIAL_NONAPPEARANCE_SUPPORTED,b5bcb6fe08197de68efd42e3fd918b0ac534e190d90718cb4cb8bf2124a1e7d0,LOCAL_ROW_MISSING,USE_GOVERNED_EXACT_GAME_RECOVERY_OR_REVIEW,NOT_AUTHORIZED
