source_lineage_grade,price_band,side,frozen_rows,settled_wagers,wins,losses,voids,supported_nonappearances,book_rule_uncertified,technical_unresolved,stake_at_risk,returned_stake,gross_winning_profit,net_dollars,roi,average_odds
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,+100_TO_+149,OVER,404,376,145,231,26,17,0,2,1880,130,935.2500000000001,-219.75,-0.11688829787234042,128.37765957446808
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,+150_OR_HIGHER,OVER,211,188,54,134,23,19,0,0,940,115,443.85,-226.14999999999992,-0.24058510638297864,165.51063829787233
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,-101_TO_-149,OVER,46,41,18,23,5,5,0,0,205,25,81.76206487439062,-33.2379351256094,-0.1621362689054117,-112.46341463414635
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,+100_TO_+149,UNDER,3,3,2,1,0,0,0,0,15,0,10.55,5.55,0.37,104.66666666666667
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,-101_TO_-149,UNDER,128,117,66,51,11,9,0,0,585,55,251.0323304682506,-3.9676695317493613,-0.006782341079913438,-133.5897435897436
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,-150_TO_-199,UNDER,319,297,186,111,20,13,0,2,1485,100,539.086583381497,-15.913416618502986,-0.010716105467005377,-174.6195286195286
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,-200_OR_LOWER,UNDER,211,188,134,54,23,19,0,0,940,115,305.5604200351314,35.560420035131365,0.037830234079926986,-219.4840425531915
