side,omitted_cluster_type,omitted_cluster,settled_wagers,wins,losses,net,roi
OVER,slate_date,2026-07-29,463,161,302,-427.19293467961876,-0.18453258517478133
OVER,slate_date,2026-07-30,523,191,332,-382.0175647552391,-0.14608702285095185
OVER,slate_date,2026-07-31,447,158,289,-367.6702497660687,-0.16450570459331934
OVER,slate_date,2026-08-01,514,181,333,-448.1673160690945,-0.17438416967669046
OVER,slate_date,2026-08-02,473,177,296,-291.50367523241647,-0.1232573679629668
OVER,game_pk,824325,590,212,378,-453.1365464079134,-0.15360560895183506
OVER,game_pk,823674,589,215,374,-421.2175647552389,-0.14302803557053953
OVER,game_pk,824323,593,214,379,-446.96214084088206,-0.15074608460063477
OVER,game_pk,824971,591,213,378,-451.7998398875143,-0.15289334683164613
OVER,game_pk,824975,591,212,379,-459.9344825204618,-0.15564618697815966
OVER,game_pk,824002,591,210,381,-490.28793512560947,-0.16591808295282892
OVER,game_pk,824973,590,212,378,-460.4884301751143,-0.1560977729407167
OVER,game_pk,823919,593,213,380,-468.1379351256095,-0.157888005101386
OVER,game_pk,823924,591,211,380,-476.592439630114,-0.16128339750596074
OVER,game_pk,823999,592,213,379,-459.4379351256094,-0.15521551862351668
UNDER,slate_date,2026-07-29,463,302,161,59.06972340603412,0.025516079225068735
UNDER,slate_date,2026-07-30,523,332,191,-12.678087969257993,-0.0048482171966569764
UNDER,slate_date,2026-07-31,447,289,158,31.145419110209254,0.013935310563852015
UNDER,slate_date,2026-08-01,514,333,181,44.80871677881206,0.017435298357514423
UNDER,slate_date,2026-08-02,473,296,177,-37.428435786281995,-0.015825977076652006
UNDER,game_pk,824325,590,378,212,8.405892024405675,0.0028494549235273474
UNDER,game_pk,823674,589,374,215,-9.479416462511129,-0.003218817134978312
UNDER,game_pk,824323,593,379,214,1.6205603485900189,0.0005465633553423335
UNDER,game_pk,824971,591,378,213,12.586710601528019,0.004259462132496792
UNDER,game_pk,824975,591,379,212,15.133543777285933,0.005121334611602684
UNDER,game_pk,824002,591,381,210,34.840227027415054,0.011790262953439951
UNDER,game_pk,824973,590,378,212,12.769285306250177,0.004328571290254297
UNDER,game_pk,823919,593,380,213,18.746823143852875,0.006322705950709233
UNDER,game_pk,823924,591,380,211,28.127882855788954,0.00951874208317731
UNDER,game_pk,823999,592,379,213,16.78064608341702,0.005669137190343588
