slate_date,decision,pregame_source_completeness,selected_run,identity_count
2026-07-04,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-05,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-06,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-07,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-08,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-09,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-10,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-11,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-12,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-13,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-14,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-15,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-16,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-17,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-18,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-19,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-20,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-21,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-22,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-23,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-24,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-25,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-26,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-27,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-28,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,INCOMPLETE,,0
2026-07-29,ELIGIBLE_GRADE_B_EXACT_RUN_ARTIFACT_REPLAY,COMPLETE,local_daily_20260729T123005Z,151
2026-07-30,ELIGIBLE_GRADE_B_EXACT_RUN_ARTIFACT_REPLAY,COMPLETE,local_daily_20260730T123001Z,87
2026-07-31,ELIGIBLE_GRADE_B_EXACT_RUN_ARTIFACT_REPLAY,COMPLETE,local_daily_20260731T123005Z,170
2026-08-01,ELIGIBLE_GRADE_B_EXACT_RUN_ARTIFACT_REPLAY,COMPLETE,local_daily_20260801T124205Z,96
2026-08-02,ELIGIBLE_GRADE_B_EXACT_RUN_ARTIFACT_REPLAY,COMPLETE,local_daily_20260802T124202Z,157
