game_pk,slate_date,source_payload,source_sha256,source_acquisition,official_status
822702,2026-07-29,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_822702_8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,PRESERVED_OFFICIAL_FEED,Final
822781,2026-08-01,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_822781_cff982bd337c48be8507774da5e67be0f2380e44e1b1cffdf2af069ba2ded679.json,cff982bd337c48be8507774da5e67be0f2380e44e1b1cffdf2af069ba2ded679,PRESERVED_OFFICIAL_FEED,Final
822782,2026-07-31,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_822782_5d1e5e599197b3514debb9d90de78ebdde92d0b38ac7989ead3687b15b1d17e7.json,5d1e5e599197b3514debb9d90de78ebdde92d0b38ac7989ead3687b15b1d17e7,PRESERVED_OFFICIAL_FEED,Final
822783,2026-08-02,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_822783_3d28f303484db711ad0f1b949c50dd69098dcee039338696fe9532b662cf9087.json,3d28f303484db711ad0f1b949c50dd69098dcee039338696fe9532b662cf9087,PRESERVED_OFFICIAL_FEED,Final
822943,2026-08-02,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_822943_713e1968571b2e076f8c959c6bc3e41aa524ec6cfa9ea0cc3f7e23b2ef7961f7.json,713e1968571b2e076f8c959c6bc3e41aa524ec6cfa9ea0cc3f7e23b2ef7961f7,PRESERVED_OFFICIAL_FEED,Final
822945,2026-07-31,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_822945_8a474b827f771b73b8d42fb322a146f7c2998d76d6793256e496427fea812ccc.json,8a474b827f771b73b8d42fb322a146f7c2998d76d6793256e496427fea812ccc,PRESERVED_OFFICIAL_FEED,Final
822946,2026-07-30,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_822946_0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9,PRESERVED_OFFICIAL_FEED,Final
822947,2026-07-29,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_822947_d501fa9cadb9ac06bc25bd49feb6efd79effaff9a3b8446c8e7ddfe4edb5c9bf.json,d501fa9cadb9ac06bc25bd49feb6efd79effaff9a3b8446c8e7ddfe4edb5c9bf,PRESERVED_OFFICIAL_FEED,Final
823022,2026-07-29,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_823022_73a9850fbff93368cf8457c21941e189cc0b65e7fe979ff60b268f8a4e0bf15d.json,73a9850fbff93368cf8457c21941e189cc0b65e7fe979ff60b268f8a4e0bf15d,PRESERVED_OFFICIAL_FEED,Final
823023,2026-07-30,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_823023_db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73,PRESERVED_OFFICIAL_FEED,Final
823107,2026-08-02,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_823107_4531e036fa298806c0fc5544fb38e25c2671ad3177a464e3793ca1895791e84f.json,4531e036fa298806c0fc5544fb38e25c2671ad3177a464e3793ca1895791e84f,PRESERVED_OFFICIAL_FEED,Final
823109,2026-08-01,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_823109_20d9f423009c2c7238d5709e8779d071490638da69a00eeadea823e31907904d.json,20d9f423009c2c7238d5709e8779d071490638da69a00eeadea823e31907904d,PRESERVED_OFFICIAL_FEED,Final
823111,2026-07-31,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_823111_0b1befe45d92b10fcd3cbf686ea47bda533005f785fcabae298ac5ce6db0c83f.json,0b1befe45d92b10fcd3cbf686ea47bda533005f785fcabae298ac5ce6db0c83f,PRESERVED_OFFICIAL_FEED,Final
823192,2026-07-29,artifacts/analysis/model_development/mlb_routine_market_historical_replay_inventory_and_evaluation/2026-08-03/official_sources/game_823192_df74c4c50183fb85ab3229c3cd68ffc48582d8dc42fe4c663abeb1255bc518b1.json,df74c4c50183fb85ab3229c3cd68ffc48582d8dc42fe4c663abeb1255bc518b1,PRESERVED_OFFICIAL_FEED,Final
