eligible_identities,selected_wagers,wins,losses,voids,technical_unresolved,win_rate,average_american_odds,stake_at_5_risk,gross_winning_profit,net_dollars,roi,dates,games,players,surface,layer,classification,decision
9267,8639,4653,3986,570,58,0.5386040050931821,-74.00185206621137,43195,17387.811424137988,-2542.1885758620124,-0.058853769553467127,62,796,443,MODEL_DIRECTION_ONLY_MIXED,D,MODEL_DIRECTION_ONLY,SELECTION_DID_NOT_IMPROVE_NEUTRAL_BOARD
3355,3221,1256,1965,128,6,0.389941012108041,109.72306737038187,16105,7970.31975370441,-1854.6802462955907,-0.11516176630211677,62,779,272,MODEL_DIRECTION_ONLY_OVER,D,MODEL_DIRECTION_ONLY,SELECTION_DID_NOT_IMPROVE_NEUTRAL_BOARD
5912,5418,3397,2021,442,52,0.626984126984127,-183.2262827611665,27090,9417.491670433577,-687.5083295664214,-0.025378675879159148,62,794,435,MODEL_DIRECTION_ONLY_UNDER,D,MODEL_DIRECTION_ONLY,SELECTION_DID_NOT_IMPROVE_NEUTRAL_BOARD
