slate_date,normal_pipeline_run_tag,cause,rows,path
2026-05-13,local_daily_20260513T123003Z,exact_same_run_surface_found,174,backend/mlb/exports/odds_history/2026-05-13/mlb_slate_output__local_daily_20260513T123003Z.csv
2026-05-14,local_daily_20260514T123002Z,exact_same_run_surface_found,128,backend/mlb/exports/odds_history/2026-05-14/mlb_slate_output__local_daily_20260514T123002Z.csv
2026-05-15,local_daily_20260515T123000Z,exact_same_run_surface_found,135,backend/mlb/exports/odds_history/2026-05-15/mlb_slate_output__local_daily_20260515T123000Z.csv
2026-05-16,local_daily_20260516T123000Z,exact_same_run_surface_found,191,backend/mlb/exports/odds_history/2026-05-16/mlb_slate_output__local_daily_20260516T123000Z.csv
2026-05-17,local_daily_20260517T123002Z,exact_same_run_surface_found,159,backend/mlb/exports/odds_history/2026-05-17/mlb_slate_output__local_daily_20260517T123002Z.csv
2026-05-18,local_daily_20260518T123000Z,exact_same_run_surface_found,184,backend/mlb/exports/odds_history/2026-05-18/mlb_slate_output__local_daily_20260518T123000Z.csv
2026-05-19,local_daily_20260519T123000Z,exact_same_run_surface_found,175,backend/mlb/exports/odds_history/2026-05-19/mlb_slate_output__local_daily_20260519T123000Z.csv
2026-05-20,local_daily_20260520T123004Z,exact_same_run_surface_found,164,backend/mlb/exports/odds_history/2026-05-20/mlb_slate_output__local_daily_20260520T123004Z.csv
2026-05-21,local_daily_20260521T123004Z,exact_same_run_surface_found,72,backend/mlb/exports/odds_history/2026-05-21/mlb_slate_output__local_daily_20260521T123004Z.csv
2026-05-22,local_daily_20260522T123000Z,exact_same_run_surface_found,154,backend/mlb/exports/odds_history/2026-05-22/mlb_slate_output__local_daily_20260522T123000Z.csv
2026-05-23,local_daily_20260523T123002Z,exact_same_run_surface_found,173,backend/mlb/exports/odds_history/2026-05-23/mlb_slate_output__local_daily_20260523T123002Z.csv
2026-06-19,local_daily_20260619T123658Z,exact_same_run_surface_found,151,backend/mlb/exports/odds_history/2026-06-19/mlb_slate_output__local_daily_20260619T123658Z.csv
2026-06-20,local_daily_20260620T123541Z,exact_same_run_surface_found,165,backend/mlb/exports/odds_history/2026-06-20/mlb_slate_output__local_daily_20260620T123541Z.csv
2026-06-21,local_daily_20260621T124133Z,exact_same_run_surface_found,173,backend/mlb/exports/odds_history/2026-06-21/mlb_slate_output__local_daily_20260621T124133Z.csv
2026-06-22,local_daily_20260622T123000Z,exact_same_run_surface_found,149,backend/mlb/exports/odds_history/2026-06-22/mlb_slate_output__local_daily_20260622T123000Z.csv
2026-06-23,local_daily_20260623T123004Z,exact_same_run_surface_found,176,backend/mlb/exports/odds_history/2026-06-23/mlb_slate_output__local_daily_20260623T123004Z.csv
2026-06-24,local_daily_20260624T123004Z,exact_same_run_surface_found,164,backend/mlb/exports/odds_history/2026-06-24/mlb_slate_output__local_daily_20260624T123004Z.csv
2026-06-25,local_daily_20260625T124202Z,exact_same_run_surface_found,113,backend/mlb/exports/odds_history/2026-06-25/mlb_slate_output__local_daily_20260625T124202Z.csv
2026-06-26,local_daily_20260626T124026Z,exact_same_run_surface_found,158,backend/mlb/exports/odds_history/2026-06-26/mlb_slate_output__local_daily_20260626T124026Z.csv
2026-06-27,local_daily_20260627T123520Z,exact_same_run_surface_found,184,backend/mlb/exports/odds_history/2026-06-27/mlb_slate_output__local_daily_20260627T123520Z.csv
2026-06-28,local_daily_20260628T123818Z,exact_same_run_surface_found,173,backend/mlb/exports/odds_history/2026-06-28/mlb_slate_output__local_daily_20260628T123818Z.csv
2026-06-29,local_daily_20260629T123000Z,exact_same_run_surface_found,171,backend/mlb/exports/odds_history/2026-06-29/mlb_slate_output__local_daily_20260629T123000Z.csv
2026-06-30,local_daily_20260630T123001Z,exact_same_run_surface_found,200,backend/mlb/exports/odds_history/2026-06-30/mlb_slate_output__local_daily_20260630T123001Z.csv
2026-07-01,local_daily_20260701T123004Z,exact_same_run_surface_found,187,backend/mlb/exports/odds_history/2026-07-01/mlb_slate_output__local_daily_20260701T123004Z.csv
2026-07-02,local_daily_20260702T123000Z,exact_same_run_surface_found,109,backend/mlb/exports/odds_history/2026-07-02/mlb_slate_output__local_daily_20260702T123000Z.csv
2026-07-03,local_daily_20260703T140350Z,exact_same_run_surface_found,171,backend/mlb/exports/odds_history/2026-07-03/mlb_slate_output__local_daily_20260703T140350Z.csv
2026-07-04,local_daily_20260704T123003Z,exact_same_run_surface_found,196,backend/mlb/exports/odds_history/2026-07-04/mlb_slate_output__local_daily_20260704T123003Z.csv
2026-07-05,local_daily_20260705T124201Z,exact_same_run_surface_found,192,backend/mlb/exports/odds_history/2026-07-05/mlb_slate_output__local_daily_20260705T124201Z.csv
2026-07-06,local_daily_20260706T123011Z,exact_same_run_surface_found,99,backend/mlb/exports/odds_history/2026-07-06/mlb_slate_output__local_daily_20260706T123011Z.csv
2026-07-07,local_daily_20260707T123005Z,exact_same_run_surface_found,170,backend/mlb/exports/odds_history/2026-07-07/mlb_slate_output__local_daily_20260707T123005Z.csv
2026-07-08,local_daily_20260708T124203Z,exact_same_run_surface_found,162,backend/mlb/exports/odds_history/2026-07-08/mlb_slate_output__local_daily_20260708T124203Z.csv
2026-07-09,local_daily_20260709T123644Z,exact_same_run_surface_found,147,backend/mlb/exports/odds_history/2026-07-09/mlb_slate_output__local_daily_20260709T123644Z.csv
2026-07-10,local_daily_20260710T124202Z,exact_same_run_surface_found,191,backend/mlb/exports/odds_history/2026-07-10/mlb_slate_output__local_daily_20260710T124202Z.csv
2026-07-11,local_daily_20260711T123425Z,exact_same_run_surface_found,160,backend/mlb/exports/odds_history/2026-07-11/mlb_slate_output__local_daily_20260711T123425Z.csv
2026-07-12,local_daily_20260712T123143Z,exact_same_run_surface_found,175,backend/mlb/exports/odds_history/2026-07-12/mlb_slate_output__local_daily_20260712T123143Z.csv
2026-07-19,local_daily_20260719T123535Z,exact_same_run_surface_found,186,backend/mlb/exports/odds_history/2026-07-19/mlb_slate_output__local_daily_20260719T123535Z.csv
2026-07-20,local_daily_20260720T124009Z,exact_same_run_surface_found,190,backend/mlb/exports/odds_history/2026-07-20/mlb_slate_output__local_daily_20260720T124009Z.csv
2026-07-21,local_daily_20260721T123231Z,exact_same_run_surface_found,197,backend/mlb/exports/odds_history/2026-07-21/mlb_slate_output__local_daily_20260721T123231Z.csv
2026-07-22,local_daily_20260722T123956Z,exact_same_run_surface_found,214,backend/mlb/exports/odds_history/2026-07-22/mlb_slate_output__local_daily_20260722T123956Z.csv
2026-07-23,local_daily_20260723T124025Z,exact_same_run_surface_found,55,backend/mlb/exports/odds_history/2026-07-23/mlb_slate_output__local_daily_20260723T124025Z.csv
2026-07-24,local_daily_20260724T123005Z,exact_same_run_surface_found,181,backend/mlb/exports/odds_history/2026-07-24/mlb_slate_output__local_daily_20260724T123005Z.csv
2026-07-25,local_daily_20260725T123005Z,exact_same_run_surface_found,184,backend/mlb/exports/odds_history/2026-07-25/mlb_slate_output__local_daily_20260725T123005Z.csv
2026-07-26,local_daily_20260726T123004Z,exact_same_run_surface_found,195,backend/mlb/exports/odds_history/2026-07-26/mlb_slate_output__local_daily_20260726T123004Z.csv
2026-07-27,local_daily_20260727T123005Z,exact_same_run_surface_found,154,backend/mlb/exports/odds_history/2026-07-27/mlb_slate_output__local_daily_20260727T123005Z.csv
2026-07-28,local_daily_20260728T123001Z,exact_same_run_surface_found,196,backend/mlb/exports/odds_history/2026-07-28/mlb_slate_output__local_daily_20260728T123001Z.csv
2026-07-29,local_daily_20260729T123005Z,exact_same_run_surface_found,186,backend/mlb/exports/odds_history/2026-07-29/mlb_slate_output__local_daily_20260729T123005Z.csv
2026-07-30,local_daily_20260730T123001Z,exact_same_run_surface_found,126,backend/mlb/exports/odds_history/2026-07-30/mlb_slate_output__local_daily_20260730T123001Z.csv
2026-07-31,local_daily_20260731T123005Z,exact_same_run_surface_found,191,backend/mlb/exports/odds_history/2026-07-31/mlb_slate_output__local_daily_20260731T123005Z.csv
2026-08-01,local_daily_20260801T124205Z,exact_same_run_surface_found,165,backend/mlb/exports/odds_history/2026-08-01/mlb_slate_output__local_daily_20260801T124205Z.csv
2026-08-02,local_daily_20260802T124202Z,exact_same_run_surface_found,181,backend/mlb/exports/odds_history/2026-08-02/mlb_slate_output__local_daily_20260802T124202Z.csv
