date,model_hits05_player_games,model_hits05_prediction_rows,original_synchronized_player_games,original_synchronized_rows,recovered_synchronized_player_games,recovered_synchronized_rows,original_pg_per_model_pg,recovered_pg_per_model_pg,original_rows_per_model_rows,recovered_rows_per_model_rows
2026-03-25,16,16,0,0,0,0,0.0,0.0,0.0,0.0
2026-03-26,199,199,0,0,0,0,0.0,0.0,0.0,0.0
2026-03-27,132,132,0,0,0,0,0.0,0.0,0.0,0.0
2026-03-28,195,195,0,0,0,0,0.0,0.0,0.0,0.0
2026-03-29,194,194,0,0,0,0,0.0,0.0,0.0,0.0
2026-03-30,253,253,0,0,0,0,0.0,0.0,0.0,0.0
2026-03-31,137,137,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-01,89,89,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-02,35,35,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-03,110,110,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-04,158,158,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-05,40,40,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-06,198,198,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-07,209,209,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-08,73,73,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-09,55,55,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-10,239,239,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-11,147,147,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-12,30,30,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-13,150,150,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-14,269,269,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-15,173,173,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-16,49,49,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-17,203,203,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-18,95,95,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-19,99,99,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-20,128,128,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-21,206,206,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-22,182,182,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-23,53,53,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-24,208,208,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-25,13,13,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-26,214,214,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-27,128,128,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-28,248,248,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-29,172,172,0,0,0,0,0.0,0.0,0.0,0.0
2026-04-30,186,186,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-01,268,268,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-02,275,275,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-03,280,280,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-04,217,217,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-05,275,275,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-06,285,285,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-07,194,194,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-08,267,267,161,161,237,237,0.602996254681648,0.8876404494382022,0.602996254681648,0.8876404494382022
2026-05-09,274,274,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-10,274,274,9,9,67,67,0.032846715328467155,0.24452554744525548,0.032846715328467155,0.24452554744525548
2026-05-11,105,105,65,65,91,91,0.6190476190476191,0.8666666666666667,0.6190476190476191,0.8666666666666667
2026-05-12,272,272,150,150,203,203,0.5514705882352942,0.7463235294117647,0.5514705882352942,0.7463235294117647
2026-05-13,282,282,123,123,187,187,0.43617021276595747,0.6631205673758865,0.43617021276595747,0.6631205673758865
2026-05-14,206,206,47,47,83,83,0.22815533980582525,0.4029126213592233,0.22815533980582525,0.4029126213592233
2026-05-15,265,265,164,164,203,203,0.6188679245283019,0.7660377358490567,0.6188679245283019,0.7660377358490567
2026-05-16,287,287,86,86,141,141,0.29965156794425085,0.4912891986062718,0.29965156794425085,0.4912891986062718
2026-05-17,278,278,9,9,63,63,0.03237410071942446,0.22661870503597123,0.03237410071942446,0.22661870503597123
2026-05-18,259,259,131,131,182,182,0.5057915057915058,0.7027027027027027,0.5057915057915058,0.7027027027027027
2026-05-19,274,274,147,147,200,200,0.5364963503649635,0.7299270072992701,0.5364963503649635,0.7299270072992701
2026-05-20,296,296,90,90,152,152,0.30405405405405406,0.5135135135135135,0.30405405405405406,0.5135135135135135
2026-05-21,124,124,36,36,70,70,0.2903225806451613,0.5645161290322581,0.2903225806451613,0.5645161290322581
2026-05-22,270,270,153,153,191,191,0.5666666666666667,0.7074074074074074,0.5666666666666667,0.7074074074074074
