row_type,feature,pitcher_id,appearances,pitchers,count_vs_date_pearson,count_vs_date_spearman,within_pitcher_declines,same_count_successors,season_resets,mechanical_career_growth,first_date,last_date,first_count,last_count,estimated_count_increase_per_month
PITCHER,home_starter_prior_starts,628317,17,,0.9702013414742284,,0,,,YES,2023-04-10,2024-09-29,1,36,1.980134758364312
PITCHER,home_starter_prior_starts,628711,11,,0.9898889859247416,,0,,,YES,2023-03-30,2023-09-01,0,20,3.9274193548387095
PITCHER,home_starter_prior_starts,640455,33,,0.962929086148826,,0,,,YES,2023-04-08,2026-07-29,0,62,1.5621895695364238
PITCHER,home_starter_prior_starts,641154,37,,0.9763683539631351,,0,,,YES,2023-04-11,2025-09-19,2,77,2.5592068385650224
PITCHER,home_starter_prior_starts,641482,26,,0.9518064681914262,,0,,,YES,2023-04-03,2025-09-03,0,49,1.6871464932126696
PITCHER,home_starter_prior_starts,641540,17,,0.9730615484142001,,0,,,YES,2023-05-16,2024-09-21,2,40,2.3413461538461537
PITCHER,home_starter_prior_starts,641585,15,,0.8762735282838342,,0,,,YES,2023-05-17,2024-04-17,2,26,2.174107142857143
PITCHER,home_starter_prior_starts,641712,16,,0.9589334351477993,,0,,,YES,2023-07-19,2024-08-10,0,29,2.2749677835051547
PITCHER,home_starter_prior_starts,641743,10,,0.9996919511550869,,0,,,YES,2026-04-27,2026-07-28,3,19,5.293478260869565
PITCHER,home_starter_prior_starts,641778,17,,0.9071852237420672,,0,,,YES,2023-04-08,2026-07-29,1,37,0.9070778145695365
PITCHER,home_starter_prior_starts,641793,44,,0.9869694261790835,,0,,,YES,2023-07-05,2026-07-29,1,88,2.364341517857143
PITCHER,home_starter_prior_starts,641816,24,,0.8978644498860638,,0,,,YES,2023-04-09,2026-07-27,1,40,0.9851141078838174
PITCHER,home_starter_prior_starts,641927,53,,0.9904373115636138,,0,,,YES,2023-04-23,2026-07-30,0,99,2.523712311557789
PITCHER,home_starter_prior_starts,642547,63,,0.9928351783877792,,0,,,YES,2023-04-03,2026-07-26,0,116,2.9179752066115703
PITCHER,home_starter_prior_starts,643377,11,,0.7758469952588284,,0,,,YES,2025-09-05,2026-08-02,0,19,1.747167673716012
