evidence_label,model,feature,period,variant,training_mean,training_p95,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece,delta_mae_vs_original,delta_rmse_vs_original,delta_actual_minus_forecast_bias_vs_original,delta_crps_vs_original,delta_ladder_brier_vs_original,delta_ladder_log_loss_vs_original,delta_ladder_ece_vs_original
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,FROZEN_2025_VALIDATION,ORIGINAL,18.73677711463264,49.0,2433,8.673156463520883,8.888203863542952,0.21504740002206743,3.597206636166537,4.591661831793692,2.5315957786140326,0.22718558400314987,0.646296657014328,0.01646743865268339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_MEAN,18.73677711463264,49.0,2433,8.508806879489356,8.888203863542952,0.37939698405359473,3.5824181043437004,4.594545048971286,2.532451758901253,0.2271715755411693,0.6463413154864754,0.02927439360220405,-0.014788531822836681,0.0028832171775938775,0.1643495840315273,0.000855980287220337,-1.4008461980574705e-05,4.465847214740748e-05,0.012806954949520659
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_P95_CAP,18.73677711463264,49.0,2433,8.61559922840711,8.888203863542952,0.27260463513584154,3.5926723118376964,4.59244446863742,2.5320010710495477,0.22722485015714003,0.6464146693329984,0.020773764227871815,-0.004534324328840711,0.0007826368437280351,0.05755723511377411,0.0004052924355151255,3.926615399016398e-05,0.00011801231867036854,0.004306325575188424
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,FROZEN_2025_VALIDATION,ZERO_COEFFICIENT_CONTRIBUTION,18.73677711463264,49.0,2433,8.508806879489356,8.888203863542952,0.37939698405359473,3.5824181043437004,4.594545048971286,2.532451758901253,0.2271715755411693,0.6463413154864754,0.02927439360220405,-0.014788531822836681,0.0028832171775938775,0.1643495840315273,0.000855980287220337,-1.4008461980574705e-05,4.465847214740748e-05,0.012806954949520659
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ORIGINAL,18.73677711463264,49.0,1281,8.412418433529181,8.989851678376269,0.5774332448470871,3.5209459692414056,4.500767948230816,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.049748805580974394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_MEAN,18.73677711463264,49.0,1281,8.207651676831992,8.989851678376269,0.7822000015442766,3.523914412762166,4.529231200948,2.5224064378621143,0.2287755534811738,0.6502775378950398,0.06740707964919308,0.002968443520760644,0.02846325271718353,0.20476675669718947,0.01725883544036355,0.001876066367070106,0.0042214562978014625,0.01765827406821869
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_P95_CAP,18.73677711463264,49.0,1281,8.316563824350427,8.989851678376269,0.673287854025842,3.5198872560288503,4.510772525413736,2.5115127073816095,0.22758008765865914,0.6475758364473134,0.057953355059677324,-0.00105871321255524,0.010004577182919583,0.09585460917875488,0.006365104959858758,0.0006806005445554597,0.0015197548500750502,0.00820454947870293
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ZERO_COEFFICIENT_CONTRIBUTION,18.73677711463264,49.0,1281,8.207651676831992,8.989851678376269,0.7822000015442766,3.523914412762166,4.529231200948,2.5224064378621143,0.2287755534811738,0.6502775378950398,0.06740707964919308,0.002968443520760644,0.02846325271718353,0.20476675669718947,0.01725883544036355,0.001876066367070106,0.0042214562978014625,0.01765827406821869
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_LATE_HOLDOUT,ORIGINAL,18.73677711463264,49.0,439,8.266052304145697,8.927107061503417,0.6610547573577193,3.6782613120044236,4.68092949277268,2.6022766473304486,0.23053602911161053,0.6543558561017102,0.04390562249268724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_MEAN,18.73677711463264,49.0,439,8.043474853736246,8.927107061503417,0.8836322077671704,3.673921375833645,4.722020355166058,2.62548203354123,0.23254746936555207,0.6595815096566551,0.06314770192751988,-0.004339936170778547,0.04109086239337767,0.2225774504094511,0.023205386210781498,0.0020114402539415377,0.005225653554944865,0.019242079434832644
