evidence_label,model,feature,period,variant,games,ladder_brier,delta_ladder_brier_vs_original,ladder_log_loss,delta_ladder_log_loss_vs_original,ladder_ece,delta_ladder_ece_vs_original,crps,delta_crps_vs_original
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_MEAN,2433,0.2271715755411693,-1.4008461980574705e-05,0.6463413154864754,4.465847214740748e-05,0.02927439360220405,0.012806954949520659,2.532451758901253,0.000855980287220337
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_P95_CAP,2433,0.22722485015714003,3.926615399016398e-05,0.6464146693329984,0.00011801231867036854,0.020773764227871815,0.004306325575188424,2.5320010710495477,0.0004052924355151255
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,FROZEN_2025_VALIDATION,ZERO_COEFFICIENT_CONTRIBUTION,2433,0.2271715755411693,-1.4008461980574705e-05,0.6463413154864754,4.465847214740748e-05,0.02927439360220405,0.012806954949520659,2.532451758901253,0.000855980287220337
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_MEAN,1281,0.2287755534811738,0.001876066367070106,0.6502775378950398,0.0042214562978014625,0.06740707964919308,0.01765827406821869,2.5224064378621143,0.01725883544036355
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_P95_CAP,1281,0.22758008765865914,0.0006806005445554597,0.6475758364473134,0.0015197548500750502,0.057953355059677324,0.00820454947870293,2.5115127073816095,0.006365104959858758
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ZERO_COEFFICIENT_CONTRIBUTION,1281,0.2287755534811738,0.001876066367070106,0.6502775378950398,0.0042214562978014625,0.06740707964919308,0.01765827406821869,2.5224064378621143,0.01725883544036355
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_MEAN,439,0.23254746936555207,0.0020114402539415377,0.6595815096566551,0.005225653554944865,0.06314770192751988,0.019242079434832644,2.62548203354123,0.023205386210781498
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_P95_CAP,439,0.23143255199529422,0.0008965228836836925,0.6566761715018711,0.002320315400160866,0.05580889059992401,0.011903268107236777,2.6133544496452856,0.011077802314837015
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,2026_LATE_HOLDOUT,ZERO_COEFFICIENT_CONTRIBUTION,439,0.23254746936555207,0.0020114402539415377,0.6595815096566551,0.005225653554944865,0.06314770192751988,0.019242079434832644,2.62548203354123,0.023205386210781498
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_MEAN,126,0.22603112936614456,0.001683144650048013,0.6450928778068558,0.0042546179422606745,0.0872356789952915,0.01888142106828404,2.3211746695110778,0.007296951311844158
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_P95_CAP,126,0.22492785312131672,0.0005798684052201741,0.6422914740872094,0.0014532142226143518,0.07770331467111713,0.009349056744109671,2.315098808009819,0.0012210898105853296
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,home_starter_prior_starts,PROSPECTIVE_AUG06_15,ZERO_COEFFICIENT_CONTRIBUTION,126,0.22603112936614456,0.001683144650048013,0.6450928778068558,0.0042546179422606745,0.0872356789952915,0.01888142106828404,2.3211746695110778,0.007296951311844158
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_MEAN,2433,0.22722209020461548,3.6506201465613675e-05,0.6463830129740992,8.635595977113386e-05,0.01723429959270892,0.0007668609400255308,2.531936255379957,0.00034047676592452447
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_P95_CAP,2433,0.22720440668016453,1.882267701466822e-05,0.6463405245846993,4.386757037122546e-05,0.01700736403679546,0.0005399253841120687,2.531771240979035,0.00017546236500232126
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,FROZEN_2025_VALIDATION,ZERO_COEFFICIENT_CONTRIBUTION,2433,0.22722209020461548,3.6506201465613675e-05,0.6463830129740992,8.635595977113386e-05,0.01723429959270892,0.0007668609400255308,2.531936255379957,0.00034047676592452447
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_MEAN,1281,0.22702253781350135,0.00012305069939766433,0.6463349483819623,0.0002788667847238857,0.05091024406062086,0.0011614384796464691,2.5061756687234764,0.0010280663017256941
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_P95_CAP,1281,0.226964463431577,6.497631747331978e-05,0.6462024505817229,0.00014636898448450175,0.05029116636623537,0.000542360785260973,2.5056704552299824,0.0005228528082317219
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,ZERO_COEFFICIENT_CONTRIBUTION,1281,0.22702253781350135,0.00012305069939766433,0.6463349483819623,0.0002788667847238857,0.05091024406062086,0.0011614384796464691,2.5061756687234764,0.0010280663017256941
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_MEAN,439,0.23076386473013444,0.00022783561852390832,0.6549157701235724,0.0005599140218621734,0.046144592265831175,0.002238969773143938,2.604353594126008,0.0020769467955594756
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_P95_CAP,439,0.23065627504697572,0.00012024593536519301,0.6546506836038144,0.00029482750210418907,0.0450335283198773,0.001127905827190065,2.6033415736154124,0.0010649262849637964
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_LATE_HOLDOUT,ZERO_COEFFICIENT_CONTRIBUTION,439,0.23076386473013444,0.00022783561852390832,0.6549157701235724,0.0005599140218621734,0.046144592265831175,0.002238969773143938,2.604353594126008,0.0020769467955594756
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_MEAN,126,0.22462083600361002,0.00027285128751347587,0.641479698512519,0.0006414386479238754,0.06974982617584378,0.0013955682488363264,2.316061873456564,0.002184155257330289
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_P95_CAP,126,0.22447420119309913,0.00012621647700258865,0.6411278796445414,0.00028961977994634847,0.06905940821708502,0.0007051502900775608,2.3149270467227994,0.0010493285235657623
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,PROSPECTIVE_AUG06_15,ZERO_COEFFICIENT_CONTRIBUTION,126,0.22462083600361002,0.00027285128751347587,0.641479698512519,0.0006414386479238754,0.06974982617584378,0.0013955682488363264,2.316061873456564,0.002184155257330289
