model,period,scope,games,contribution_residual_pearson,count_residual_pearson,mean_contribution,mean_residual,support_band,mae
CONTROL,DEVELOPMENT_2023_24,home_starter_prior_starts,4859,0.0002880355803111787,0.00028803558031118367,-1.462322979543322e-18,4.106176539325535e-06,,
CONTROL,DEVELOPMENT_2023_24,away_starter_prior_starts,4859,8.253450751043824e-06,8.253450751048527e-06,-4.5697593110728814e-20,4.106176539325535e-06,,
CONTROL,DEVELOPMENT_2023_24,JOINT_HOME_AWAY,4859,0.0002807246268936341,,0.0,4.106176539325535e-06,,
CONTROL,DEVELOPMENT_2023_24,JOINT_SUPPORT_BAND,4435,-0.005920892789280296,,-0.0019608343702911565,-0.017723513492700075,IN_SUPPORT_AT_OR_BELOW_P95,3.52107364014257
CONTROL,DEVELOPMENT_2023_24,JOINT_SUPPORT_BAND,350,-0.0362265366688381,,0.019790732647504986,0.22705460717945047,EITHER_COUNT_ABOVE_TRAINING_P95,3.450556485209491
CONTROL,DEVELOPMENT_2023_24,JOINT_SUPPORT_BAND,74,0.0779650003441324,,0.023912756832628772,-0.011424030552408938,EITHER_COUNT_ABOVE_TRAINING_P99,3.365341210188883
CONTROL,FROZEN_2025_VALIDATION,home_starter_prior_starts,2433,-0.06186473296569805,-0.061864732965698055,0.019177097887468318,0.21504740002206743,,
CONTROL,FROZEN_2025_VALIDATION,away_starter_prior_starts,2433,0.01092083149929959,0.010920831499299595,0.0012264859133390392,0.21504740002206743,,
CONTROL,FROZEN_2025_VALIDATION,JOINT_HOME_AWAY,2433,-0.06088563621728839,,0.020403583800807357,0.21504740002206743,,
CONTROL,FROZEN_2025_VALIDATION,JOINT_SUPPORT_BAND,806,-0.08012060319050573,,0.003149244575090617,0.34827505141636345,IN_SUPPORT_AT_OR_BELOW_P95,3.625233658916094
CONTROL,FROZEN_2025_VALIDATION,JOINT_SUPPORT_BAND,370,-0.0415142154164583,,0.01898893833991698,0.04565328879955774,EITHER_COUNT_ABOVE_TRAINING_P95,3.420758403714662
