model,feature,point,count,center,scale,coefficient,standardized_count,isolated_log_location_contribution,isolated_location_factor,per_additional_start_location_factor
CONTROL,home_starter_prior_starts,TRAINING_P10,2.0,18.73677711463264,15.546598179262267,0.012677233712015375,-1.076555586093295,-0.013647746768880389,0.9864449614948565,1.000815767134285
CONTROL,home_starter_prior_starts,TRAINING_MEAN,18.73677711463264,18.73677711463264,15.546598179262267,0.012677233712015375,0.0,0.0,1.0,1.000815767134285
CONTROL,home_starter_prior_starts,TRAINING_MEDIAN,15.0,18.73677711463264,15.546598179262267,0.012677233712015375,-0.24035979264049923,-0.003047097266275162,0.9969575404229074,1.000815767134285
CONTROL,home_starter_prior_starts,TRAINING_P90,42.0,18.73677711463264,15.546598179262267,0.012677233712015375,1.496354547607615,0.01896963631605877,1.0191507029777649,1.000815767134285
CONTROL,home_starter_prior_starts,TRAINING_P95,49.0,18.73677711463264,15.546598179262267,0.012677233712015375,1.9466138210052741,0.024677678355923126,1.0249846925239934,1.000815767134285
CONTROL,home_starter_prior_starts,TRAINING_MAX,65,18.73677711463264,15.546598179262267,0.012677233712015375,2.975777874485638,0.037724631589898784,1.0384452384890948,1.000815767134285
CONTROL,home_starter_prior_starts,PROSPECTIVE_MEDIAN,46.5,18.73677711463264,15.546598179262267,0.012677233712015375,1.7858069376489674,0.022639091913114428,1.0228973010126499,1.000815767134285
CONTROL,home_starter_prior_starts,PROSPECTIVE_P90,103.5,18.73677711463264,15.546598179262267,0.012677233712015375,5.452203878172764,0.06911886280915273,1.0715635706351156,1.000815767134285
CONTROL,home_starter_prior_starts,PROSPECTIVE_MAX,120.0,18.73677711463264,15.546598179262267,0.012677233712015375,6.513529308324389,0.08257353333169012,1.086078533475877,1.000815767134285
CONTROL,away_starter_prior_starts,TRAINING_P10,2.0,18.666803869108872,15.472110456847977,0.0008268356527004493,-1.0772159309224763,-0.0008906805373436077,0.9991097160008279,1.0000534418202747
CONTROL,away_starter_prior_starts,TRAINING_MEAN,18.666803869108872,18.666803869108872,15.472110456847977,0.0008268356527004493,0.0,0.0,1.0,1.0000534418202747
CONTROL,away_starter_prior_starts,TRAINING_MEDIAN,15.0,18.666803869108872,15.472110456847977,0.0008268356527004493,-0.23699442162952886,-0.00019595543729441698,0.9998040637607183,1.0000534418202747
CONTROL,away_starter_prior_starts,TRAINING_P90,42.0,18.666803869108872,15.472110456847977,0.0008268356527004493,1.508081020748131,0.0012469351551154407,1.001247712901989,1.0000534418202747
CONTROL,away_starter_prior_starts,TRAINING_P95,49.0,18.666803869108872,15.472110456847977,0.0008268356527004493,1.9605079872904871,0.0016210179012957741,1.0016223324610263,1.0000534418202747
CONTROL,away_starter_prior_starts,TRAINING_MAX,66,18.666803869108872,15.472110456847977,0.0008268356527004493,3.059259191750495,0.0025295045705908694,1.0025327064664447,1.0000534418202747
CONTROL,away_starter_prior_starts,PROSPECTIVE_MEDIAN,51.5,18.666803869108872,15.472110456847977,0.0008268356527004493,2.1220890467699,0.0017546188820744644,1.0017561591265007,1.0000534418202747
CONTROL,away_starter_prior_starts,PROSPECTIVE_P90,107.0,18.666803869108872,15.472110456847977,0.0008268356527004493,5.709188567212867,0.004720560655361395,1.0047317200544421,1.0000534418202747
CONTROL,away_starter_prior_starts,PROSPECTIVE_MAX,118.0,18.666803869108872,15.472110456847977,0.0008268356527004493,6.4201452289222845,0.005308404970787633,1.0053225195166442,1.0000534418202747
PARK_REPAIR,home_starter_prior_starts,TRAINING_P10,2.0,18.73677711463264,15.546598179262267,0.0006045472197127954,-1.076555586093295,-0.0006508286864389804,0.9993493830566119,1.0000388868977732
PARK_REPAIR,home_starter_prior_starts,TRAINING_MEAN,18.73677711463264,18.73677711463264,15.546598179262267,0.0006045472197127954,0.0,0.0,1.0,1.0000388868977732
PARK_REPAIR,home_starter_prior_starts,TRAINING_MEDIAN,15.0,18.73677711463264,15.546598179262267,0.0006045472197127954,-0.24035979264049923,-0.0001453088443715578,0.9998547017124473,1.0000388868977732
PARK_REPAIR,home_starter_prior_starts,TRAINING_P90,42.0,18.73677711463264,15.546598179262267,0.0006045472197127954,1.496354547607615,0.0009046169814607813,1.0009050262708097,1.0000388868977732
PARK_REPAIR,home_starter_prior_starts,TRAINING_P95,49.0,18.73677711463264,15.546598179262267,0.0006045472197127954,1.9466138210052741,0.0011768199733432395,1.0011775126976787,1.0000388868977732
PARK_REPAIR,home_starter_prior_starts,TRAINING_MAX,65,18.73677711463264,15.546598179262267,0.0006045472197127954,2.975777874485638,0.001798998240503144,1.0018006174086524,1.0000388868977732
PARK_REPAIR,home_starter_prior_starts,PROSPECTIVE_MEDIAN,46.5,18.73677711463264,15.546598179262267,0.0006045472197127954,1.7858069376489674,0.0010796046190995046,1.0010801876019444,1.0000388868977732
PARK_REPAIR,home_starter_prior_starts,PROSPECTIVE_P90,103.5,18.73677711463264,15.546598179262267,0.0006045472197127954,5.452203878172764,0.0032961146958566646,1.0033015528551916,1.0000388868977732
PARK_REPAIR,home_starter_prior_starts,PROSPECTIVE_MAX,120.0,18.73677711463264,15.546598179262267,0.0006045472197127954,6.513529308324389,0.003937736033865317,1.0039454991026955,1.0000388868977732
PARK_REPAIR,away_starter_prior_starts,TRAINING_P10,2.0,18.666803869108872,15.472110456847977,-0.010872043168452675,-1.0772159309224763,0.011711538102734096,1.011780386676815,0.9992975603247967
PARK_REPAIR,away_starter_prior_starts,TRAINING_MEAN,18.666803869108872,18.666803869108872,15.472110456847977,-0.010872043168452675,0.0,-0.0,1.0,0.9992975603247967
PARK_REPAIR,away_starter_prior_starts,TRAINING_MEDIAN,15.0,18.666803869108872,15.472110456847977,-0.010872043168452675,-0.23699442162952886,0.002576613582638712,1.0025799359042493,0.9992975603247967
PARK_REPAIR,away_starter_prior_starts,TRAINING_P90,42.0,18.666803869108872,15.472110456847977,-0.010872043168452675,1.508081020748131,-0.016395921959097854,0.9837377595615928,0.9992975603247967
PARK_REPAIR,away_starter_prior_starts,TRAINING_P95,49.0,18.666803869108872,15.472110456847977,-0.010872043168452675,1.9605079872904871,-0.021314727469918446,0.9789108259546313,0.9992975603247967
PARK_REPAIR,away_starter_prior_starts,TRAINING_MAX,66,18.666803869108872,15.472110456847977,-0.010872043168452675,3.059259191750495,-0.033260397996197025,0.9672866472870244,0.9992975603247967
PARK_REPAIR,away_starter_prior_starts,PROSPECTIVE_MEDIAN,51.5,18.666803869108872,15.472110456847977,-0.010872043168452675,2.1220890467699,-0.02307144372378294,0.9771926669963379,0.9992975603247967
