evidence_label,model,feature,period,variant,training_mean,training_p95,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece,delta_mae_vs_original,delta_rmse_vs_original,delta_actual_minus_forecast_bias_vs_original,delta_crps_vs_original,delta_ladder_brier_vs_original,delta_ladder_log_loss_vs_original,delta_ladder_ece_vs_original
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,FROZEN_2025_VALIDATION,ORIGINAL,18.73677711463264,49.0,2433,8.865362591700688,8.888203863542952,0.022841271842263648,3.609047729660149,4.581630238180419,2.5261521172892056,0.22662294593769958,0.6449158736349274,0.010254202207018295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_MEAN,18.73677711463264,49.0,2433,8.857326721584005,8.888203863542952,0.030877141958944875,3.6079866503616658,4.58138351353884,2.5259720090410127,0.2265971252249289,0.6448617502072229,0.010436071182218582,-0.001061079298483314,-0.0002467246415793767,0.008035870116681228,-0.00018010824819292282,-2.582071277068554e-05,-5.412342770449996e-05,0.0001818689752002868
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_P95_CAP,18.73677711463264,49.0,2433,8.862576589795507,8.888203863542952,0.025627273747443616,3.608741145661946,4.5815866559353005,2.5261253423260586,0.22661957409885747,0.6449098364958363,0.010043211041402067,-0.0003065839982032692,-4.3582245118578555e-05,0.002786001905179969,-2.6774963147069286e-05,-3.3718388421088985e-06,-6.037139091086274e-06,-0.00021099116561622798
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,FROZEN_2025_VALIDATION,ZERO_COEFFICIENT_CONTRIBUTION,18.73677711463264,49.0,2433,8.857326721584005,8.888203863542952,0.030877141958944875,3.6079866503616658,4.58138351353884,2.5259720090410127,0.2265971252249289,0.6448617502072229,0.010436071182218582,-0.001061079298483314,-0.0002467246415793767,0.008035870116681228,-0.00018010824819292282,-2.582071277068554e-05,-5.412342770449996e-05,0.0001818689752002868
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ORIGINAL,18.73677711463264,49.0,1281,8.819550861197982,8.989851678376269,0.17030081717828816,3.548085685155089,4.486066338698284,2.4930419264371597,0.22561928466544015,0.6427887258728482,0.014864062839443547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_MEAN,18.73677711463264,49.0,1281,8.809322641631733,8.989851678376269,0.18052903674453719,3.5475592074039066,4.486568739178037,2.4933615451782325,0.2256510148605712,0.6428569357030691,0.015723625394863768,-0.0005264777511824192,0.0005024004797533621,0.01022821956624903,0.0003196187410727802,3.173019513105779e-05,6.82098302209333e-05,0.0008595625554202214
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_P95_CAP,18.73677711463264,49.0,1281,8.814826475251886,8.989851678376269,0.17502520312438147,3.5478378918921454,4.486253517786899,2.493179023811554,0.22563261661997394,0.642817479923481,0.015260526900624212,-0.000247793262943663,0.0001871790886154301,0.004724385946093312,0.0001370973743943793,1.3331954533790658e-05,2.875405063285097e-05,0.0003964640611806656
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ZERO_COEFFICIENT_CONTRIBUTION,18.73677711463264,49.0,1281,8.809322641631733,8.989851678376269,0.18052903674453719,3.5475592074039066,4.486568739178037,2.4933615451782325,0.2256510148605712,0.6428569357030691,0.015723625394863768,-0.0005264777511824192,0.0005024004797533621,0.01022821956624903,0.0003196187410727802,3.173019513105779e-05,6.82098302209333e-05,0.0008595625554202214
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_LATE_HOLDOUT,ORIGINAL,18.73677711463264,49.0,439,8.754945273783505,8.927107061503417,0.17216178771991095,3.7588648957244715,4.664873737287822,2.595315853634535,0.23071209742868853,0.6540085325048086,0.034253115547978184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_MEAN,18.73677711463264,49.0,439,8.743650293737149,8.927107061503417,0.18345676776626632,3.757386041146902,4.665699067344643,2.595760888703326,0.2307260092263039,0.6540594349908948,0.03428458831415466,-0.0014788545775696882,0.0008253300568208388,0.011294980046355374,0.00044503506879101096,1.3911797615367982e-05,5.0902486086190635e-05,3.14727661764741e-05
