model,feature,period,support_band,training_p95,training_p99,training_max,mean_count,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece,starter_count_extrapolation
CONTROL,home_starter_prior_starts,FROZEN_2025_VALIDATION,AT_OR_BELOW_P95,49.0,59.0,65,22.560904449307074,1371,8.598265235607338,9.018234865061999,0.4199696294546613,3.5517904736531016,4.591808870468322,2.520803109694162,0.22816812401823783,0.6486533108255718,0.034580925955905804,MODERATE
CONTROL,home_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_P95_TO_P99,49.0,59.0,65,54.52881355932203,295,8.825891959512427,8.471186440677966,-0.3547055188344596,3.542584948127179,4.498932967151069,2.455445464396824,0.221430919705792,0.6338207175791205,0.052975247114346036,MODERATE
CONTROL,home_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_P99_TO_MAX,49.0,59.0,65,62.638297872340424,188,8.757521401310289,9.207446808510639,0.4499254072003494,3.699556195402297,4.814760297767462,2.645862328007325,0.22207344095785236,0.6345729009019677,0.03575521394945868,MODERATE
CONTROL,home_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_TRAINING_MAX,49.0,59.0,65,76.01381692573402,579,8.745277869129794,8.689119170984457,-0.05615869814533819,3.6993434921962556,4.563797920137272,2.5588479038252236,0.22945094928734824,0.6508795515001564,0.020341967277917053,MODERATE
CONTROL,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,AT_OR_BELOW_P95,49.0,59.0,65,22.27810650887574,676,8.264204187405044,8.893491124260356,0.6292869368553105,3.544068612789362,4.535621755461422,2.531401541256159,0.22934776287446806,0.6517270507667516,0.05674938830452151,MODERATE
CONTROL,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_P95_TO_P99,49.0,59.0,65,54.48854961832061,131,8.394892381858849,9.778625954198473,1.383733572339621,3.8923253098812283,5.2763077871523105,2.845526405492905,0.23579184138757134,0.6662407707963175,0.09034481427922599,MODERATE
CONTROL,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_P99_TO_MAX,49.0,59.0,65,62.0,53,8.240846658965246,8.39622641509434,0.15537975612909333,3.358205220864569,4.093607622024596,2.338060487374607,0.21753819918875944,0.6245948832320646,0.03605616949100873,MODERATE
CONTROL,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_TRAINING_MAX,49.0,59.0,65,87.67220902612827,421,8.67745892569217,8.973871733966746,0.29641280827457595,3.388745634328668,4.222832779291847,2.3781127597688236,0.22137980881532143,0.6333712219052761,0.03187930448709441,MODERATE
CONTROL,home_starter_prior_starts,2026_LATE_HOLDOUT,AT_OR_BELOW_P95,49.0,59.0,65,21.863013698630137,219,8.163209800811307,8.940639269406393,0.7774294685950865,3.5882432898069165,4.6142769778179105,2.550523714878974,0.23292209522310675,0.6597272190796581,0.06293090916220967,MODERATE
CONTROL,home_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_P95_TO_P99,49.0,59.0,65,55.05555555555556,36,8.226069720319122,8.777777777777779,0.5517080574586541,3.1120079123675812,3.7800481768416136,2.156855006685565,0.22366242566943792,0.6386093313368915,0.05412435944283918,MODERATE
CONTROL,home_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_P99_TO_MAX,49.0,59.0,65,62.629629629629626,27,8.32528646061353,7.592592592592593,-0.7326938680209382,3.6531263938381,4.378093604094553,2.47495768086122,0.20732551959018447,0.6020323871281787,0.08071756944653662,MODERATE
CONTROL,home_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_TRAINING_MAX,49.0,59.0,65,92.10828025477707,157,8.408488985823132,9.171974522292993,0.7634855364698638,3.9379919619322656,4.999490355467451,2.7984975604817732,0.23277542403249615,0.6594722896153934,0.03737289584898776,MODERATE
CONTROL,home_starter_prior_starts,PROSPECTIVE_AUG06_15,AT_OR_BELOW_P95,49.0,59.0,65,23.776119402985074,67,7.992207066904607,9.059701492537313,1.067494425632708,2.9933911387402174,3.7993812149325468,2.173260740651365,0.2246445890861992,0.6415380906921951,0.1082468051333703,MODERATE
CONTROL,home_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_P95_TO_P99,49.0,59.0,65,56.166666666666664,6,7.912964856796026,8.333333333333334,0.42036847653730697,4.233704942108022,5.098045780394313,2.9626117785908055,0.22998216463485083,0.6530466016519133,0.10469775494773584,MODERATE
CONTROL,home_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_P99_TO_MAX,49.0,59.0,65,62.18181818181818,11,7.827584675110248,8.363636363636363,0.5360516885261162,2.532170164532871,3.268754121039772,1.8626531813003782,0.19881584138432407,0.583785918179743,0.06739169668763022,MODERATE
