model,feature,period,support_band,training_p95,training_p99,training_max,mean_count,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece,starter_count_extrapolation
CONTROL,home_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_TRAINING_MAX,49.0,59.0,65,92.85714285714286,42,8.226377777382961,8.0,-0.22637777738295992,3.754006160133682,4.549459267379658,2.563696838181263,0.22975693720038445,0.6529200942065062,0.03839606477788401,MODERATE
CONTROL,away_starter_prior_starts,FROZEN_2025_VALIDATION,AT_OR_BELOW_P95,49.0,59.0,66,22.637980085348506,1406,8.64946114479439,8.830014224751066,0.18055307995667638,3.6219200001675933,4.607582965971135,2.546042336252274,0.22683953465601228,0.6455767998212196,0.013914626752186137,MODERATE
CONTROL,away_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_P95_TO_P99,49.0,59.0,66,54.516129032258064,279,8.767021477623366,8.85663082437276,0.08960934674939351,3.5763125221563077,4.491004302089768,2.503575097049611,0.2278230039968251,0.6475527640555453,0.021691801833649046,MODERATE
CONTROL,away_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_P99_TO_MAX,49.0,59.0,66,63.077586206896555,232,8.733906119258588,8.823275862068966,0.0893697428103765,3.2299369504654694,4.166883620133679,2.29441696619738,0.2210428466054397,0.6332679241702293,0.01815505789831365,MODERATE
CONTROL,away_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_TRAINING_MAX,49.0,59.0,66,76.70930232558139,516,8.65965522139629,9.093023255813954,0.4333680344176644,3.706293913503779,4.780309518579709,2.6140209619430426,0.2305457008250662,0.6534368340857264,0.03075230502901537,MODERATE
CONTROL,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,AT_OR_BELOW_P95,49.0,59.0,66,21.752958579881657,676,8.381152329349224,9.075443786982248,0.694291457633025,3.5925310917449385,4.579240774572771,2.5479513004717353,0.2277178909391889,0.6478587616782276,0.053977503299513244,MODERATE
CONTROL,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_P95_TO_P99,49.0,59.0,66,54.542635658914726,129,8.431421288648659,8.434108527131784,0.0026872384831238202,3.673111706973747,4.668938486042237,2.5879423954521186,0.21724551924622085,0.6245150978667852,0.023089260500524136,MODERATE
CONTROL,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_P99_TO_MAX,49.0,59.0,66,62.50909090909091,55,8.418938632767444,9.4,0.9810613672325557,3.9539757841925716,4.984453013841835,2.779306585534652,0.24532466362108657,0.6875406393215727,0.07633217152966255,MODERATE
CONTROL,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_TRAINING_MAX,49.0,59.0,66,88.04988123515439,421,8.45594790421121,8.969121140142517,0.513173235931307,3.3028044899013245,4.2474603743760575,2.375231753837627,0.22613639011010186,0.6443423630500683,0.05564152501012584,MODERATE
CONTROL,away_starter_prior_starts,2026_LATE_HOLDOUT,AT_OR_BELOW_P95,49.0,59.0,66,21.89767441860465,215,8.292436582797317,8.669767441860465,0.3773308590631493,3.5948246232918506,4.65319133305343,2.5575207583720974,0.21943888671238598,0.6297501595514827,0.019954186066293685,MODERATE
CONTROL,away_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_P95_TO_P99,49.0,59.0,66,55.416666666666664,36,8.198098024312513,9.13888888888889,0.940790864576376,3.9663879022840454,5.227706375292627,2.85060223417426,0.22622762775376606,0.6434947235081241,0.058228063702897195,MODERATE
CONTROL,away_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_P99_TO_MAX,49.0,59.0,66,62.84375,32,8.13236695512137,9.3125,1.1801330448786307,3.8154046648592406,4.725473883052896,2.6569870551482295,0.25248641905009656,0.7038550050172109,0.09677869900294207,MODERATE
CONTROL,away_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_TRAINING_MAX,49.0,59.0,66,93.68589743589743,156,8.272793748585922,9.153846153846153,0.8810524052602307,3.6986314628491845,4.575119678021145,2.5954308905964703,0.24232177005189331,0.6806202969117873,0.08423295238090556,MODERATE
CONTROL,away_starter_prior_starts,PROSPECTIVE_AUG06_15,AT_OR_BELOW_P95,49.0,59.0,66,23.901639344262296,61,7.950012602953508,8.163934426229508,0.21392182327600068,2.7266961323479313,3.358898268662247,1.9267670139969078,0.21358701948498623,0.6175847640150296,0.044284262482192256,MODERATE
CONTROL,away_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_P95_TO_P99,49.0,59.0,66,52.5,6,7.764894258673081,10.666666666666666,2.9017724079935854,4.043769841205564,4.8187456325458315,2.9279732027821446,0.2890783212212015,0.7892106321481375,0.25867155905698846,MODERATE
CONTROL,away_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_P99_TO_MAX,49.0,59.0,66,63.09090909090909,11,8.093060211842552,7.636363636363637,-0.4566965754789155,2.563137491753365,2.911561050585219,1.693198061518256,0.20326577894540465,0.5921704394100816,0.05827130482133307,MODERATE
CONTROL,away_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_TRAINING_MAX,49.0,59.0,66,93.85416666666667,48,8.208399250775235,9.145833333333334,0.9374340825580988,4.014499394874473,4.977346647902926,2.8713080572062175,0.2347634247899446,0.6629960731588013,0.10898650352188513,MODERATE
PARK_REPAIR,home_starter_prior_starts,FROZEN_2025_VALIDATION,AT_OR_BELOW_P95,49.0,59.0,65,22.560904449307074,1371,8.893379425382559,9.018234865061999,0.12485543967944061,3.5623972659786918,4.5654342882735826,2.5053920823290468,0.22649204989530242,0.6446852486410946,0.011710676150919848,MODERATE
PARK_REPAIR,home_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_P95_TO_P99,49.0,59.0,65,54.52881355932203,295,8.92329600384489,8.471186440677966,-0.4521095631669219,3.559698814382764,4.508539064431644,2.461431725915178,0.22215911799126256,0.6352676180272736,0.056121163214294556,MODERATE
PARK_REPAIR,home_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_P99_TO_MAX,49.0,59.0,65,62.638297872340424,188,8.82943709230485,9.207446808510639,0.37800971620578583,3.6962537920331258,4.81414275807787,2.6475489930431113,0.22220755030131856,0.6349741464889107,0.03447596732596609,MODERATE
PARK_REPAIR,home_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_TRAINING_MAX,49.0,59.0,65,76.01381692573402,579,8.781170119034078,8.689119170984457,-0.0920509480496227,3.7163378436290393,4.579442803786185,2.5688669890404694,0.23064087702226785,0.6536057993244847,0.022846505266618605,MODERATE
PARK_REPAIR,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,AT_OR_BELOW_P95,49.0,59.0,65,22.27810650887574,676,8.838576169184998,8.893491124260356,0.054914955075356736,3.578349313181045,4.501642074572809,2.5105967779810694,0.22700814796652385,0.6458497239943328,0.008875362268028875,MODERATE
PARK_REPAIR,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_P95_TO_P99,49.0,59.0,65,54.48854961832061,131,8.7362208226293,9.778625954198473,1.0424051315691736,3.9096307969434765,5.283993207592011,2.8263148473083133,0.23359576202255053,0.6606301872116723,0.061135041194229287,MODERATE
PARK_REPAIR,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_P99_TO_MAX,49.0,59.0,65,62.0,53,8.64718036540697,8.39622641509434,-0.2509539503126281,3.3412896627246793,4.09008798768133,2.3251947297465256,0.21450119165766998,0.61835712586079,0.02747787720196609,MODERATE
PARK_REPAIR,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_TRAINING_MAX,49.0,59.0,65,87.67220902612827,421,8.836631058656879,8.973871733966746,0.1372406753098656,3.413025274226319,4.231047257659973,2.3822819956694623,0.2223068590219669,0.6353977725121106,0.01664114589699632,MODERATE
PARK_REPAIR,home_starter_prior_starts,2026_LATE_HOLDOUT,AT_OR_BELOW_P95,49.0,59.0,65,21.863013698630137,219,8.812921116424164,8.940639269406393,0.1277181529822281,3.676581823123407,4.5943562959786615,2.538939538425617,0.23195870569138297,0.6566471042193306,0.03224715882975315,MODERATE
PARK_REPAIR,home_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_P95_TO_P99,49.0,59.0,65,55.05555555555556,36,8.722936593893689,8.777777777777779,0.054841183884090566,3.1953143819622887,3.7949594165445846,2.156873916524415,0.22414506736841291,0.639362159875021,0.02435300957482446,MODERATE
PARK_REPAIR,home_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_P99_TO_MAX,49.0,59.0,65,62.629629629629626,27,8.736329155874827,7.592592592592593,-1.1437365632822338,3.8613108673380934,4.505371322964116,2.5525261969053776,0.21850410771890952,0.6263718405749709,0.12444008760800013,MODERATE
PARK_REPAIR,home_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_TRAINING_MAX,49.0,59.0,65,92.10828025477707,157,8.68461558028837,9.171974522292993,0.4873589420046243,3.9852455973901004,4.9609338576998425,2.78184861477087,0.23257847701342665,0.6584391878633926,0.038003085057818034,MODERATE
PARK_REPAIR,home_starter_prior_starts,PROSPECTIVE_AUG06_15,AT_OR_BELOW_P95,49.0,59.0,65,23.776119402985074,67,8.677437535563701,9.059701492537313,0.3822639569736102,2.9543769753427145,3.7018833472168198,2.112158477524826,0.21728734946947376,0.6252410910106376,0.05042148866061566,MODERATE
PARK_REPAIR,home_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_P95_TO_P99,49.0,59.0,65,56.166666666666664,6,8.354234927649697,8.333333333333334,-0.020901594316364402,4.440977403484571,5.162638808078975,3.0224810808138027,0.23822969622046658,0.6710825199682738,0.08903821716075185,MODERATE
PARK_REPAIR,home_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_P99_TO_MAX,49.0,59.0,65,62.18181818181818,11,8.334889605275459,8.363636363636363,0.0287467583609046,2.5882242648734373,3.335250816835634,1.8892003080337867,0.20332596840858708,0.5948605729847976,0.11067770736582179,MODERATE
PARK_REPAIR,home_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_TRAINING_MAX,49.0,59.0,65,92.85714285714286,42,8.54262811666471,8.0,-0.5426281166647114,3.827687924500218,4.615090213561309,2.5943517963049407,0.23161996173894323,0.6556756551749898,0.039414968866134645,MODERATE
PARK_REPAIR,away_starter_prior_starts,FROZEN_2025_VALIDATION,AT_OR_BELOW_P95,49.0,59.0,66,22.637980085348506,1406,8.963665750441974,8.830014224751066,-0.13365152569090671,3.633250304591275,4.58722196202867,2.533518466999813,0.22541197538248206,0.6422088330964951,0.01729000104557172,MODERATE
PARK_REPAIR,away_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_P95_TO_P99,49.0,59.0,66,54.516129032258064,279,8.85691882055082,8.85663082437276,-0.00028799617805956953,3.597746290033644,4.5002114910901625,2.50872542473667,0.2284083875255266,0.6487333528051736,0.01769096312000745,MODERATE
PARK_REPAIR,away_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_P99_TO_MAX,49.0,59.0,66,63.077586206896555,232,8.782896032956659,8.823275862068966,0.040379829112307204,3.2680587997716235,4.1938536256443495,2.3142702813692533,0.2235864933186703,0.6388920391259639,0.01963786058018535,MODERATE
PARK_REPAIR,away_starter_prior_starts,FROZEN_2025_VALIDATION,ABOVE_TRAINING_MAX,49.0,59.0,66,76.70930232558139,516,8.63914905020685,9.093023255813954,0.45387420560710373,3.7025239177159044,4.772991022142215,2.6107675154722916,0.2303224486610462,0.6529363230818589,0.03127195256275736,MODERATE
PARK_REPAIR,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,AT_OR_BELOW_P95,49.0,59.0,66,21.752958579881657,676,8.95825270038852,9.075443786982248,0.11719108659372794,3.619608360639072,4.55562610533949,2.5275936274402735,0.2255346010622757,0.6425034041631956,0.010097675986183552,MODERATE
PARK_REPAIR,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_P95_TO_P99,49.0,59.0,66,54.542635658914726,129,8.783186964935625,8.434108527131784,-0.34907843780384207,3.781480665477022,4.74311061787284,2.635061728673013,0.2226896311333252,0.6362670946663262,0.03556096821181582,MODERATE
PARK_REPAIR,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_P99_TO_MAX,49.0,59.0,66,62.50909090909091,55,8.77211469053833,9.4,0.6278853094616693,3.923344715545206,4.917874774259778,2.7355758177527845,0.23922776783510039,0.6723344916993026,0.04505789013749623,MODERATE
PARK_REPAIR,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,ABOVE_TRAINING_MAX,49.0,59.0,66,88.04988123515439,421,8.614176725120354,8.969121140142517,0.3549444150221631,3.3127020087651666,4.225813900081785,2.3623605288388476,0.2248751156560593,0.6413852835472222,0.04170807797910484,MODERATE
PARK_REPAIR,away_starter_prior_starts,2026_LATE_HOLDOUT,AT_OR_BELOW_P95,49.0,59.0,66,21.89767441860465,215,8.959024753893368,8.669767441860465,-0.2892573120329021,3.738535182275275,4.658232276623463,2.567714446141862,0.22237981356511669,0.6356807756811687,0.059925863805039406,MODERATE
PARK_REPAIR,away_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_P95_TO_P99,49.0,59.0,66,55.416666666666664,36,8.719893556332492,9.13888888888889,0.4189953325563953,4.101538040130304,5.273057985116922,2.8864529598622286,0.23025332894275385,0.6524324418222418,0.02833993987047885,MODERATE
PARK_REPAIR,away_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_P99_TO_MAX,49.0,59.0,66,62.84375,32,8.613150330523656,9.3125,0.6993496694763444,3.8258573347579974,4.619851764323165,2.599727708881609,0.247626869112436,0.6913350466917428,0.06276812602240074,MODERATE
PARK_REPAIR,away_starter_prior_starts,2026_LATE_HOLDOUT,ABOVE_TRAINING_MAX,49.0,59.0,66,93.68589743589743,156,8.510856887815118,9.153846153846153,0.642989266031036,3.69406295433918,4.531814241408641,2.565265772985955,0.23883186667408396,0.6719749333232263,0.06434300630268532,MODERATE
PARK_REPAIR,away_starter_prior_starts,PROSPECTIVE_AUG06_15,AT_OR_BELOW_P95,49.0,59.0,66,23.901639344262296,61,8.702122891296826,8.163934426229508,-0.5381884650673163,2.774579441919544,3.376381501812326,1.9230362968953254,0.2125384381958057,0.6153260382205773,0.04858203075777059,MODERATE
PARK_REPAIR,away_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_P95_TO_P99,49.0,59.0,66,52.5,6,8.409626630160517,10.666666666666666,2.257040036506149,3.8826797277483447,4.468486279206458,2.6967016304745903,0.2657537774317249,0.7319012747649071,0.20204998617190736,MODERATE
PARK_REPAIR,away_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_P99_TO_MAX,49.0,59.0,66,63.09090909090909,11,8.522201517863612,7.636363636363637,-0.8858378814999767,2.800368653767821,3.0914402016324596,1.778013257698251,0.21480423111029037,0.6176594769115269,0.08322179454254404,MODERATE
PARK_REPAIR,away_starter_prior_starts,PROSPECTIVE_AUG06_15,ABOVE_TRAINING_MAX,49.0,59.0,66,93.85416666666667,48,8.478258711667605,9.145833333333334,0.6675746216657273,3.9681875415928736,4.94696038481564,2.8406231996683786,0.2297925145949985,0.651644621075693,0.09328457072516239,MODERATE
