row_type,feature,pitcher_id,games,comparison,within_pitcher_pearson,within_pitcher_month_pearson,within_pitcher_date_and_quality_controlled_pearson,within_pitcher_direct_signal,count_actual_pearson,mean_within_pitcher_count_change,count_raw_residual_pearson,count_repaired_residual_pearson,count_quality_pearson
PITCHER,home_starter_prior_starts,571578,52,final_total,,,,ABSENT,-0.21323163881724772,2.1176470588235294,-0.13876650828264195,-0.14791735884441612,-0.4258942025141948
PITCHER,home_starter_prior_starts,571760,41,final_total,,,,ABSENT,-0.4951787783633311,2.0,-0.44999030262955,-0.45483741258251326,-0.28731909623803636
PITCHER,home_starter_prior_starts,571927,16,final_total,,,,ABSENT,0.0019512658490611606,2.3333333333333335,0.08337604725214631,0.06729452435798453,-0.6209837254133932
PITCHER,home_starter_prior_starts,571945,53,final_total,,,,ABSENT,-0.01517743112989754,2.0384615384615383,0.014048043764265512,-0.0029741935972234903,-0.14138527412238971
PITCHER,home_starter_prior_starts,572020,17,final_total,,,,ABSENT,0.2546245943047889,2.4375,0.2931617954038045,0.29025476712185944,0.40184210433829626
PITCHER,home_starter_prior_starts,573186,35,final_total,,,,ABSENT,0.6336491535000368,1.8235294117647058,0.6703682877608395,0.6627900537234294,0.7656431308724442
PITCHER,home_starter_prior_starts,579328,51,final_total,,,,ABSENT,-0.03253208517565608,1.98,-0.05058747845907273,-0.06285535015880056,0.0020131471867097907
PITCHER,home_starter_prior_starts,592332,61,final_total,,,,ABSENT,0.0086427611519092,1.9,0.004555114849995807,-0.01748119916234007,0.3830476999465802
PITCHER,home_starter_prior_starts,592351,26,final_total,,,,ABSENT,0.017154439450178298,1.88,0.0727422708340659,0.07066242516493622,0.6239942908852234
PITCHER,home_starter_prior_starts,592662,32,final_total,,,,ABSENT,0.11910971901633681,1.903225806451613,0.17329176089942094,0.15472945804723046,-0.4832022265710921
PITCHER,home_starter_prior_starts,592767,10,final_total,,,,ABSENT,0.7430491839391203,2.0,0.7704200745384259,0.7773069045999298,-0.4115376636007941
PITCHER,home_starter_prior_starts,592791,48,final_total,,,,ABSENT,-0.32747479427944565,1.9787234042553192,-0.24037371412418554,-0.26115081333153667,-0.7967165203967229
PITCHER,home_starter_prior_starts,592836,37,final_total,,,,ABSENT,0.2299621465703093,1.9166666666666667,0.27593376129517827,0.23906934799271798,-0.032442406978977024
