provider_event_id,raw_player_name,line,snapshot_rows,distinct_player_mlb_ids,identity_stable,over_under_same_identity,price_changed,decision
2803bb8e96c2e13f37418f06bbba2ead,Ben Malgeri,0.5,6,701162,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Chadwick Tromp,0.5,6,644433,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Christian Encarnacion-Strand,0.5,6,687952,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Coby Mayo,0.5,6,691723,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Dillon Dingler,1.5,6,693307,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Gleyber Torres,1.5,6,650402,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Gunnar Henderson,1.5,6,683002,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Hao-Yu Lee,1.5,6,701678,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Jackson Holliday,0.5,6,702616,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Javier Baez,1.5,6,595879,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Kevin McGonigle,1.5,6,805808,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Leody Taveras,0.5,6,665750,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Matt Vierling,1.5,6,663837,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Pete Alonso,1.5,6,624413,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Riley Greene,1.5,6,682985,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Spencer Torkelson,1.5,6,679529,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Taylor Ward,1.5,6,621493,YES,YES,YES,PASS
2803bb8e96c2e13f37418f06bbba2ead,Tyler O'Neill,0.5,6,641933,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Angel Martinez,1.5,6,682657,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Brayan Rocchio,1.5,6,677587,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Chase DeLauter,1.5,6,800050,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Dane Myers,0.5,6,667472,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Edwin Arroyo,0.5,6,695490,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Elly De La Cruz,1.5,6,682829,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Eugenio Suarez,1.5,6,553993,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,JJ Bleday,1.5,6,668709,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Jose Ramirez,1.5,6,608070,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Ke'Bryan Hayes,0.5,6,663647,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Kyle Manzardo,1.5,6,700932,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Noelvi Marte,0.5,6,682622,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Patrick Bailey,1.5,6,672275,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Petey Halpin,0.5,6,690984,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Sal Stewart,1.5,6,701398,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Steven Kwan,1.5,6,680757,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Travis Bazzana,1.5,6,683953,YES,YES,YES,PASS
d3a738dccfb8833e757d8dbc4caead9d,Tyler Stephenson,1.5,6,663886,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Adrian Del Castillo,1.5,6,680728,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Brandon Lowe,1.5,6,664040,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Bryan Reynolds,1.5,6,668804,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Corbin Carroll,1.5,6,682998,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Esmerlyn Valdez,1.5,6,699013,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Gabriel Moreno,1.5,6,672515,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Geraldo Perdomo,1.5,6,672695,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Henry Davis,1.5,6,680779,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Ildemaro Vargas,0.5,6,545121,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Jake Mangum,1.5,6,663968,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Jared Triolo,0.5,6,669707,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Ketel Marte,1.5,6,606466,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Marcell Ozuna,1.5,6,542303,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Max Kepler,1.5,6,596146,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Nick Gonzales,1.5,6,693304,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Nolan Arenado,0.5,6,571448,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Ryan O'Hearn,1.5,6,656811,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Ryan Waldschmidt,0.5,6,814439,YES,YES,YES,PASS
f915125c1b1553c2c8ceb8acef3f2c11,Tim Tawa,1.5,6,694374,YES,YES,YES,PASS
