provider_event_id,game_pk,raw_provider_player_name,normalized_provider_name,official_player_name,normalized_official_name,player_mlb_id,normalization_operations,candidate_count_before_normalization,candidate_count_after_normalization,decision,reason,side,line,price,source_observed_at_utc,raw_payload_path,raw_payload_sha256
2803bb8e96c2e13f37418f06bbba2ead,824242,Jackson Holliday,jackson holliday,Jackson Holliday,jackson holliday,702616,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,0.5,-120,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Jackson Holliday,jackson holliday,Jackson Holliday,jackson holliday,702616,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,0.5,-108,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Gleyber Torres,gleyber torres,Gleyber Torres,gleyber torres,650402,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,1.5,128,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Gleyber Torres,gleyber torres,Gleyber Torres,gleyber torres,650402,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,1.5,-167,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Chadwick Tromp,chadwick tromp,Chadwick Tromp,chadwick tromp,644433,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,0.5,110,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Chadwick Tromp,chadwick tromp,Chadwick Tromp,chadwick tromp,644433,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,0.5,-143,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Tyler O'Neill,tyler o'neill,Tyler O'Neill,tyler o'neill,641933,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,0.5,-130,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Tyler O'Neill,tyler o'neill,Tyler O'Neill,tyler o'neill,641933,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,0.5,100,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Leody Taveras,leody taveras,Leody Taveras,leody taveras,665750,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,0.5,-123,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Leody Taveras,leody taveras,Leody Taveras,leody taveras,665750,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,0.5,-105,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
